model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0017095044432065166,0.008977008016642307,0.02162191926824275,0.059639417359841046,0.40859894592129203
GPs,Absolute,Y,0.0016311735917392994,0.008603145966607717,0.02125892808124652,0.06129604695457766,0.41679582200268644
GPs,Absolute,Z,0.0010096443517742851,0.005267763130364311,0.012264294188650729,0.028511746226324748,0.20736764070895722
NNs,Absolute,X,0.010412782875647092,0.05305856738198761,0.11401617842790224,0.20094650013781146,0.3909705705318364
NNs,Absolute,Y,0.010389007562234764,0.052802218045010396,0.11288537837767088,0.1987079103562971,0.3881852377633044
NNs,Absolute,Z,0.006374895212786803,0.03254287550121589,0.07003268519446104,0.12362109469777494,0.2438867023244815
KANs,Absolute,X,0.00988789437371195,0.05056418215399172,0.11252246474024075,0.22051724939223966,0.49975323855476894
KANs,Absolute,Y,0.009728895478321255,0.05085563714276098,0.11441981088558584,0.2253416262574059,0.5153554584869933
KANs,Absolute,Z,0.004808278268205046,0.024868481933124756,0.054224762102293045,0.10071765354081674,0.231783247179222
GPs,Relative,X,0.0006743018574616233,0.003600593302881816,0.008592066391837405,0.019037398534579086,0.12471953774726145
GPs,Relative,Y,0.0006686670702903269,0.0035728023319434588,0.008679797918128174,0.01913113208671058,0.10765715182295464
GPs,Relative,Z,0.0003636309609820532,0.00185677562209563,0.004104583254138927,0.008165273714717342,0.03294782689144176
NNs,Relative,X,0.006450894945987873,0.032790166640613405,0.07016070149992171,0.12295443047966637,0.23585092793324197
NNs,Relative,Y,0.006384465038787535,0.03261214441313723,0.06999098044487972,0.12301392046771842,0.23219354406427636
NNs,Relative,Z,0.0035686850077146504,0.018119033525660605,0.03874769576749437,0.06746594589161464,0.12252069936173686
KANs,Relative,X,0.00455809559518946,0.02358720180950663,0.05184630802122536,0.10061776048512361,0.3491040872232857
KANs,Relative,Y,0.004217597469990464,0.021720055509556746,0.04804732185932856,0.09171149633196284,0.24853773546334304
KANs,Relative,Z,0.0012854895794035316,0.006638707943940836,0.015033954801797589,0.030680066763670452,0.10694501549536346
GPs,logD,X,9.13360975941302e-05,0.00047418300349169606,0.0010982784638471355,0.002382041617853936,0.011150733875536271
GPs,logD,Y,0.00014280595014715542,0.0007457420729777842,0.0017151117065472288,0.003489896706759643,0.012160865113258272
GPs,logD,Z,0.00013831493170578523,0.000710642584398416,0.0015705460197836807,0.003098386820048815,0.013478325916454625
NNs,logD,X,0.002995112261201505,0.015309539177773113,0.03336878912338179,0.06073056545347433,0.126773984014418
NNs,logD,Y,0.002997305302747938,0.015342742596756609,0.03369592845418312,0.061753649875190955,0.12630828881447884
NNs,logD,Z,0.002431944830281696,0.012451090282709631,0.02691300011051309,0.04881597412789096,0.11565014863031485
KANs,logD,X,0.0024793438611537245,0.012852713652380728,0.029055615447349692,0.059834054701892736,0.15304639470891845
KANs,logD,Y,0.0025606743975551405,0.013296433588848744,0.029949257713010713,0.060789246090717355,0.14927886472807841
KANs,logD,Z,0.002233868162843264,0.012077448575789178,0.030460007828546076,0.07030066090819465,0.2082355696844392
