model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.002143991315696914,0.011125095838834406,0.027091782894233973,0.0776469032104094,0.4914942461615057
GPs,Absolute,Y,0.0020510732148073586,0.010882526529640314,0.027408419236110843,0.0795157258459061,0.47937175001817756
GPs,Absolute,Z,0.0012581903633214952,0.006532369562829557,0.015413850983030053,0.037376386774937875,0.2725069865402097
NNs,Absolute,X,0.010773005309266871,0.05503644521970788,0.11900128146776523,0.21146442905759472,0.4215330347029123
NNs,Absolute,Y,0.011098029965387914,0.05649788877209583,0.12080021285538134,0.21265029851757472,0.4089277886866305
NNs,Absolute,Z,0.006602208248851978,0.033684074591381175,0.0726981877020601,0.12920749613928456,0.25496624799377726
KANs,Absolute,X,0.009833526192698228,0.051154422919825915,0.11337499402515483,0.21742620151684744,0.5128916100536818
KANs,Absolute,Y,0.009846731856315367,0.050726968179819365,0.11545108052300579,0.23107301538220054,0.5446292917620759
KANs,Absolute,Z,0.00527176679287801,0.026799461828620728,0.05776954216965802,0.1062656492164081,0.24944564410860784
GPs,Relative,X,0.0008594870402124506,0.004550863224305646,0.01082019942295731,0.0230895166484123,0.1417104205241098
GPs,Relative,Y,0.0008396208166584596,0.00445296245782234,0.010756755616409652,0.023073185005545116,0.12113592706869221
GPs,Relative,Z,0.00042378456857705704,0.00216519420541339,0.00477425662828912,0.009432863206318143,0.03695715763648652
NNs,Relative,X,0.0066903247681606515,0.03402949227335239,0.07315461187165417,0.12925009552286293,0.25011518552858164
NNs,Relative,Y,0.00672028706282124,0.03405452820345031,0.07310592338332211,0.12778213625172552,0.23826183677183746
NNs,Relative,Z,0.0036517824822550646,0.01851546742663579,0.03952451817751956,0.06923305844753386,0.127839051494547
KANs,Relative,X,0.005034710462076797,0.02537765449855696,0.05608035266675149,0.11647544514711466,0.43862111582528945
KANs,Relative,Y,0.004689692141094259,0.02421829207460066,0.054381233567218745,0.11150541522945201,0.3906089316623772
KANs,Relative,Z,0.0015352749957676136,0.007931457762320737,0.018224328636130216,0.04035861579372024,0.1421312778214356
GPs,logD,X,0.00010218491184923462,0.0005298133834953089,0.0012378909933321303,0.0027291587136567264,0.013575207785886426
GPs,logD,Y,0.00015532964461844326,0.0008136483866304223,0.0018995237879288474,0.003998976932001463,0.01589634237504196
GPs,logD,Z,0.00015079081185420117,0.0007738750800727612,0.001731036548414,0.0035201274244865827,0.017011141136501873
NNs,logD,X,0.0030367964444414485,0.015483770644004746,0.03407470215351849,0.06371174770729893,0.13598210903490887
NNs,logD,Y,0.0031845254341047345,0.01622657610584745,0.0351273952633806,0.06362534801385505,0.13041332646083273
NNs,logD,Z,0.0025938830241273303,0.013145081261769442,0.028225859932101693,0.05159599092241057,0.11982689952252844
KANs,logD,X,0.0027015658104751574,0.013951535015342707,0.0321840437425196,0.06690829978760865,0.16901663010575543
KANs,logD,Y,0.0027173073698594343,0.014181126463601899,0.03207016392191645,0.06521180243417518,0.16207038174853589
KANs,logD,Z,0.0024168522303667423,0.012850742455616793,0.03087198024789717,0.0705607183510912,0.22000038311650646
