model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0012544763964768824,0.006526749958334688,0.015678626183207978,0.044091800844022755,0.32178201562417824
GPs,Absolute,Y,0.0012339876927160544,0.006478262897336551,0.01599615613672626,0.045725858222656124,0.35102405050023183
GPs,Absolute,Z,0.0007740025913463456,0.004023903539973617,0.009390214024627364,0.021961229825682715,0.16607107679621777
NNs,Absolute,X,0.0100909735596189,0.05140311805554476,0.11084720942469634,0.1970348142209396,0.38138662279497715
NNs,Absolute,Y,0.009830908151932768,0.04986516094702148,0.10670731745024953,0.18765688647458684,0.3675368965786996
NNs,Absolute,Z,0.005827186477665027,0.02974388937957828,0.06383882363119608,0.11259042431989846,0.22095572422436918
KANs,Absolute,X,0.009606214494770728,0.04916739763310837,0.1092405989868449,0.20979165969470048,0.45736733994263745
KANs,Absolute,Y,0.009354840702889205,0.04807868875754237,0.10922412985077586,0.21885522583288508,0.4747804051089052
KANs,Absolute,Z,0.004403956425809296,0.022534587674106932,0.04857233772047653,0.08908761521959709,0.19777501607290127
GPs,Relative,X,0.0005461032618654744,0.0028762394496300026,0.006853646477245401,0.015300480811715922,0.1018019808355587
GPs,Relative,Y,0.0005416867487533728,0.002872036760672575,0.006928272266358171,0.015241823894404927,0.08430782127405338
GPs,Relative,Z,0.000301495316824818,0.0015510881618364114,0.003409324868003827,0.006706591711287957,0.026086587075221324
NNs,Relative,X,0.0061110793183421774,0.03105680810440653,0.06620983104273204,0.11621961997408037,0.22405759617599139
NNs,Relative,Y,0.006034753467713584,0.030803202034136275,0.06538823533232868,0.11357959635757409,0.2095863256553772
NNs,Relative,Z,0.0035659306604415466,0.018183520994779823,0.03892138475301821,0.06771168465267174,0.12140902238519495
KANs,Relative,X,0.004393827337913093,0.02249832523183165,0.04803678771498976,0.08574534526554323,0.1966821039753423
KANs,Relative,Y,0.0039962751015312,0.020330604089459248,0.04391876949205009,0.07995257826493551,0.1768443155368777
KANs,Relative,Z,0.0012902636410595746,0.006597899575580005,0.01461975489844547,0.027721767322154756,0.06356276894536865
GPs,logD,X,7.954125340866036e-05,0.0004144440573249919,0.0009523596959722103,0.001988540029976449,0.008141298052301888
GPs,logD,Y,0.0001266910072384775,0.0006598122510272364,0.0015033054413258959,0.0029839491348689906,0.009600781895096985
GPs,logD,Z,0.00012241678803785462,0.0006296702692583089,0.0013920297154197403,0.0027045218749828515,0.010852360272028964
NNs,logD,X,0.002775352521636318,0.014261837841336583,0.031213363481202072,0.057830145348146234,0.12094971686007404
NNs,logD,Y,0.0026498457143711465,0.013572450846041417,0.029852459679011845,0.05614332164446206,0.12039837141996365
NNs,logD,Z,0.0023353117066576604,0.011875108800236844,0.02592536809933843,0.04774578210200229,0.11372979823025858
KANs,logD,X,0.0024325573562752976,0.012987130980010565,0.031240663747305275,0.06378731801648019,0.15639484899484504
KANs,logD,Y,0.0026278168988308538,0.013480997510994602,0.030760351382229212,0.06293377929127142,0.14510010901350825
KANs,logD,Z,0.0026628591217337187,0.01344903687721577,0.031182121298967913,0.06912465617104076,0.2026376442226275
