model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0015951503607786967,0.008299800979609362,0.020140581821133985,0.05654303221040552,0.4105021767583376
GPs,Absolute,Y,0.0015378375421990166,0.008132683931591222,0.019924968777968566,0.05694013280577753,0.4072571081325375
GPs,Absolute,Z,0.0009288755848109065,0.004877520260859303,0.011323163611161702,0.026227800858828032,0.19618783866711745
NNs,Absolute,X,0.01019151047466599,0.05224447655562067,0.11185920215012697,0.19784952666242295,0.38748975725188134
NNs,Absolute,Y,0.010636908313582768,0.05401666031630453,0.11581139963340803,0.2037564330275664,0.39792195965283883
NNs,Absolute,Z,0.006088991580109316,0.031006899942237376,0.0666254291815126,0.11787686831656563,0.23513669779848045
KANs,Absolute,X,0.009412252944849488,0.04851944770908992,0.1070520500386325,0.20900561693816277,0.471553982412506
KANs,Absolute,Y,0.009440530730021228,0.04868245164365326,0.11061384978249954,0.21719543604027947,0.48281377883683996
KANs,Absolute,Z,0.004590193795870901,0.02348504252902541,0.051365875139215866,0.09518325132063499,0.2094687623961244
GPs,Relative,X,0.0006451705665602603,0.0034155005013378655,0.008083264248890831,0.01779718487859644,0.12155399980663939
GPs,Relative,Y,0.0006322382720038392,0.003376823749113758,0.008172303675334058,0.017983077147297855,0.10632922085381945
GPs,Relative,Z,0.0003450851212869699,0.001780819046906995,0.003944733783274534,0.007844795409918899,0.031416239300372885
NNs,Relative,X,0.006164203554459047,0.031670781975222106,0.06784015428561052,0.12055809036288256,0.23429434429291512
NNs,Relative,Y,0.0063778167471181925,0.03216534288845861,0.06870739195937758,0.11943676937407481,0.22491164890351065
NNs,Relative,Z,0.0036322011503750694,0.018459966794980187,0.03940053993487169,0.06861561016399995,0.12603215334751589
KANs,Relative,X,0.003974592711127012,0.020454838206374726,0.04447173419347039,0.08170257815390874,0.19972581603390444
KANs,Relative,Y,0.003808123707387312,0.019421557513720933,0.042191042689311606,0.07734278685708273,0.18321838280347819
KANs,Relative,Z,0.0012499180315387937,0.006430056877115231,0.014255584089595708,0.027203602539666135,0.06566871462167778
GPs,logD,X,8.883153304083958e-05,0.00046009101790257106,0.0010673213175556029,0.0022829241183565108,0.01027955247743662
GPs,logD,Y,0.0001380344226088015,0.0007195804436540831,0.0016575177733992863,0.003351608691805664,0.011452090276746832
GPs,logD,Z,0.0001332884378052013,0.0006864196621826357,0.0015143957732521307,0.002974758929144783,0.012772318264160004
NNs,logD,X,0.00268945122628603,0.013897587654668198,0.03071080797896375,0.056267007530093976,0.11691002434813064
NNs,logD,Y,0.0025816332659700627,0.013217642867656698,0.029005707000873127,0.05347048850673822,0.11151767454961478
NNs,logD,Z,0.002139864163501848,0.010995127064319654,0.023755404374746103,0.04292314014646531,0.0980204183946506
KANs,logD,X,0.002373135544998806,0.012477850787919853,0.028413105934419966,0.058119932902154336,0.14411057287622508
KANs,logD,Y,0.002477552149520945,0.012817801593575762,0.029433843604095844,0.05900656788502534,0.13637731028147848
KANs,logD,Z,0.0022450368700140722,0.011762087660192613,0.028408798303936278,0.06423404617510098,0.1870935049300504
