model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0015516417123294713,0.008019679255529686,0.01907081450315884,0.05266198395246713,0.3777707770039617
GPs,Absolute,Y,0.0014837895300746863,0.0077565773083610595,0.018936260884532728,0.05383865969820412,0.3930513119800851
GPs,Absolute,Z,0.0009048068698838896,0.004713650768531238,0.01090503242268491,0.024947751113395922,0.18474039660718206
NNs,Absolute,X,0.010123021149319822,0.05176854047305324,0.110922591577567,0.1943365772208605,0.37343222016042266
NNs,Absolute,Y,0.010497519679997225,0.053238436248885246,0.11399878839268324,0.20036967056936467,0.3877705101848005
NNs,Absolute,Z,0.005908042621500787,0.030352208557678617,0.06511258444952062,0.11549825637622069,0.2246025169195738
KANs,Absolute,X,0.009692779322406342,0.0499848139708417,0.11187192527325329,0.2187707147960243,0.5061482936151227
KANs,Absolute,Y,0.009367714125639038,0.04838080550066359,0.10923676426487239,0.2181533782838283,0.49403900149681074
KANs,Absolute,Z,0.004748639895728874,0.024369735591675157,0.05268855826431751,0.0977000225808945,0.22748628633551504
GPs,Relative,X,0.0006210566583900846,0.0032652592049800117,0.007730347530889414,0.01706002860539861,0.1148894470151279
GPs,Relative,Y,0.0006087467497642552,0.003231986989972825,0.007828665641580912,0.017126764069595846,0.09756254698095278
GPs,Relative,Z,0.0003347565465188107,0.001716197010090681,0.0037874313351038413,0.007467538383244987,0.030321760924752875
NNs,Relative,X,0.006348764212833724,0.03254475150550121,0.07019209761919365,0.12376987863622012,0.24023917617092014
NNs,Relative,Y,0.006145333303260925,0.03148574601480253,0.06731744996572958,0.11682791103790657,0.2184675012017453
NNs,Relative,Z,0.003605540783470973,0.018327142607618807,0.03917965731166517,0.06812933332920973,0.12363525485612947
KANs,Relative,X,0.003994718283752703,0.02056277930493955,0.044808721485869604,0.08266726930365148,0.19551108246969326
KANs,Relative,Y,0.004014859893216105,0.020532694391528827,0.04416609707497843,0.07904687706591174,0.17736164741702382
KANs,Relative,Z,0.0012195631089149783,0.006266720563094352,0.01365616507345635,0.025184619942636988,0.05820939367776507
GPs,logD,X,8.630050561205805e-05,0.0004514755351160693,0.0010430864562227526,0.0022146226500426858,0.009768911554228269
GPs,logD,Y,0.00013435986008698554,0.0007044494898100773,0.0016199741631490183,0.0032532957257551676,0.01132312199637027
GPs,logD,Z,0.00013191072662308012,0.0006784357268302954,0.0014963743460105206,0.0029351420398414374,0.012691040276177071
NNs,logD,X,0.00272110306005875,0.013883738807546175,0.030268721112899466,0.05638407577433635,0.11709282878348579
NNs,logD,Y,0.002664632598912542,0.013753355463158312,0.030262235639887947,0.05559939100613792,0.11510951853753214
NNs,logD,Z,0.0023818747066837844,0.0120392546640537,0.02581094464732603,0.04685565986013586,0.10846299439744027
KANs,logD,X,0.002540582258325442,0.013057494083309529,0.029902175159737476,0.060558390559318,0.1511907730065325
KANs,logD,Y,0.002578873518478675,0.013283643807720763,0.03016923940700189,0.05960026693718312,0.13612917526308005
KANs,logD,Z,0.002225084270885619,0.011613038526815778,0.028325495662101408,0.06547141781952664,0.19301779313432038
