model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.011909726112060292,0.0665611158455502,0.173594957470233,0.42852027673274484,1.3519313786955962
GPs,Absolute,Y,0.012157512486241836,0.0673503895426947,0.17614966340869237,0.4388985644249153,1.3944013549088798
GPs,Absolute,Z,0.011039279319730689,0.05999493197109032,0.14690158807237977,0.35250393564534455,1.2011294377527069
NNs,Absolute,X,0.017793417745202496,0.09241018235086063,0.20602275468928927,0.3991836744818884,0.9912544464831051
NNs,Absolute,Y,0.0175832414411669,0.09090952312318845,0.20454654416299445,0.40749499216420915,1.0942330352202865
NNs,Absolute,Z,0.016552705350770806,0.08650966778404805,0.1960135188686074,0.38844595141944405,0.9289857450572907
KANs,Absolute,X,0.04221632681690388,0.22090465998658415,0.5083229207615712,1.0169528602065032,2.7328472842606524
KANs,Absolute,Y,0.04787513837257797,0.25198091122462807,0.5829503782776984,1.1617529008370304,3.2190043414692706
KANs,Absolute,Z,0.03175182182635283,0.16630776702795264,0.37499119629464134,0.7278817360487938,1.9328315015356807
GPs,Relative,X,0.0071557712579595764,0.03916849351144805,0.08873008717488948,0.16149043211045228,0.4876354384116048
GPs,Relative,Y,0.007189340849685511,0.03906427334654083,0.08743374205579801,0.15549705344509768,0.4707475345965962
GPs,Relative,Z,0.003196118915497903,0.016309186709471873,0.035544601864354375,0.0677959055412104,0.20015517937895577
NNs,Relative,X,0.014856403181483891,0.07664280805323553,0.17163011132979822,0.32707880969418,0.7904750062542669
NNs,Relative,Y,0.015384426267825258,0.07855225505700014,0.1747084130373332,0.33561276917074234,0.7586924196932063
NNs,Relative,Z,0.008234426138573682,0.042328668435610006,0.09413848485138096,0.1778826394873975,0.39775483937110706
KANs,Relative,X,0.02890359727170613,0.15778777590341553,0.385061600543764,0.8411155852842136,2.6394679116144455
KANs,Relative,Y,0.030791046736647516,0.16564219877112663,0.39190552667856116,0.8338070930129785,2.926575749873064
KANs,Relative,Z,0.013101825989243233,0.07460171366058171,0.19492315712543584,0.4916313085648697,1.9429107823563159
GPs,logD,X,0.0004291637153975667,0.0023840211873664696,0.0066106683353373,0.021620098571155877,0.14435965498029094
GPs,logD,Y,0.0005180443305109084,0.002875418991377554,0.007822672726988888,0.022827119988571953,0.1511559425196235
GPs,logD,Z,0.0005405193450315261,0.0028515816064776274,0.006999117242029562,0.01913893438896297,0.1445271706061641
NNs,logD,X,0.0053227159843604694,0.02749736502823849,0.061791659503389385,0.11865607143421636,0.28872914164017743
NNs,logD,Y,0.00515779341681153,0.026487577751039715,0.05897381599211626,0.11632512289606828,0.2736250791984252
NNs,logD,Z,0.004309654084476745,0.022576555864301948,0.05124011673105622,0.10019019158291396,0.2726643762009836
KANs,logD,X,0.009729718279034195,0.05278584967389327,0.13830226753015196,0.4303553938427225,2.2959943733584542
KANs,logD,Y,0.009668036763948862,0.05107068039076146,0.12546890791204873,0.33479552579884597,1.260025056158904
KANs,logD,Z,0.007534596798380555,0.042013503986989775,0.11131587815627875,0.311912143952624,1.713609096240703
