model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0018204340279502518,0.009615000410243019,0.02362320116687755,0.06916523497223803,0.4505486310737804
GPs,Absolute,Y,0.0017108064556274672,0.009002285762230618,0.022862519434903472,0.07198321658629292,0.4848133182755227
GPs,Absolute,Z,0.0010912190215442764,0.0056597279623484265,0.013368492836360435,0.03318526838009217,0.25691434774813443
NNs,Absolute,X,0.010977145429504509,0.05585165776941278,0.11943568893509948,0.2094006773272483,0.408997135985094
NNs,Absolute,Y,0.011105668520488712,0.056709380732201664,0.1214029318549884,0.21244342803200883,0.4125957605324095
NNs,Absolute,Z,0.006574178175071219,0.03340437282138209,0.07185365906694452,0.12827633119031956,0.261298693422863
KANs,Absolute,X,0.009445247086547282,0.048676545186206545,0.10924150399371602,0.2120830312648923,0.490907282985349
KANs,Absolute,Y,0.010517583618568388,0.05408367931616073,0.12008883015245575,0.23165193741952284,0.5341304935146481
KANs,Absolute,Z,0.004920010700680722,0.025170309476684666,0.05441460845472712,0.10128194717519734,0.24024644977294546
GPs,Relative,X,0.0007870169962965857,0.004209365768181525,0.009903487423496116,0.021456283812808508,0.13722916265406648
GPs,Relative,Y,0.0007670736552089914,0.00404550955281846,0.009777909058725998,0.02122707259653489,0.11528750579457474
GPs,Relative,Z,0.00040478559705612325,0.002076271593356216,0.004552902787050353,0.00894544912800499,0.034099528607054494
NNs,Relative,X,0.006491933089464032,0.03301051962267382,0.07063121924316712,0.12490749379962329,0.23709864383766419
NNs,Relative,Y,0.006767056282537709,0.0344919754779065,0.0737972919055202,0.12890100975542196,0.2409481702268813
NNs,Relative,Z,0.003747360057482385,0.01905551311156084,0.040808962818946526,0.07155215692244626,0.1312922208457922
KANs,Relative,X,0.004366831136751463,0.022400470952437024,0.04868141689555672,0.08983473714822343,0.23311820993038387
KANs,Relative,Y,0.004167050683096129,0.02133664759262066,0.04662341464748909,0.08676155651795542,0.21080817933445814
KANs,Relative,Z,0.0013180296595679988,0.006747121592640959,0.014918122196783012,0.029171564389160465,0.08328806808386006
GPs,logD,X,9.578469834958804e-05,0.0005036821379361123,0.0011720028327075749,0.002564903963280407,0.012648579475030322
GPs,logD,Y,0.000149455217230432,0.0007838670541812087,0.0018180150870173994,0.0037587820878587364,0.014159191518247372
GPs,logD,Z,0.00014574086407885824,0.000746086035111379,0.0016622477653635004,0.0033315269866015518,0.015545735214498856
NNs,logD,X,0.002889576616681915,0.014881978351206908,0.03305931065402158,0.06171267562667676,0.13401436207384448
NNs,logD,Y,0.0030106275904138837,0.015575404025439388,0.03413097829611833,0.06212045277585482,0.12810935323634978
NNs,logD,Z,0.002464752116237662,0.012606243039791742,0.02738874006805858,0.050446925663648,0.12085682675666894
KANs,logD,X,0.0025807848428642034,0.01326683374797882,0.030200877256659264,0.061391832773219746,0.15876007297459038
KANs,logD,Y,0.00249318147128238,0.012963365019487694,0.029984468011929263,0.06000949679219747,0.1428623969173025
KANs,logD,Z,0.0022011354676033214,0.011717114678158558,0.0277938007345164,0.0635898092489443,0.20218044568205734
