model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0009924151837158446,0.005183271742034451,0.012353508521877388,0.03306596396566849,0.2601406868027924
GPs,Absolute,Y,0.0009597024031100271,0.005085364016130318,0.012459869048219607,0.03453601340635165,0.26212236196921945
GPs,Absolute,Z,0.0006394082143471592,0.0033090485454125283,0.007681259877214575,0.01738802018446728,0.12487710753350077
NNs,Absolute,X,0.009952034940231159,0.05082129852228451,0.10906676147865513,0.19120104558702566,0.3688387916945433
NNs,Absolute,Y,0.009911067027003085,0.05031858743358675,0.10742962037782812,0.1891833606549294,0.37385385666836396
NNs,Absolute,Z,0.005711826991249944,0.029161721118185657,0.06281534342610301,0.11146288884732147,0.21699021267417948
KANs,Absolute,X,0.00935710986632956,0.047812211655336084,0.10719980574426624,0.21154820585984452,0.48764490776841196
KANs,Absolute,Y,0.009244135749008286,0.04824644719416529,0.10872429068581241,0.21601929576846157,0.49612274809125995
KANs,Absolute,Z,0.0047392117747270986,0.024252401427242887,0.05306056950638627,0.0993842514800013,0.22061688877342273
GPs,Relative,X,0.0004610743315194177,0.0024469893027798117,0.005773506259310057,0.012859241425293572,0.08668692566033301
GPs,Relative,Y,0.00044634221836379397,0.002388310692249429,0.005801264387412242,0.012853670892740143,0.07091710818802195
GPs,Relative,Z,0.00026134609184932277,0.0013393559473048045,0.0029583822109920943,0.005789188845561927,0.02245664704577896
NNs,Relative,X,0.005740010127339179,0.029215618923054687,0.06247277112040517,0.10991822314672062,0.21161987983840627
NNs,Relative,Y,0.005580768271839775,0.028551610324376586,0.06115137662648351,0.10799917156670458,0.20333893803251002
NNs,Relative,Z,0.00327841382900298,0.016588148401476904,0.035412681392674616,0.06185307558417147,0.11213489655338366
KANs,Relative,X,0.00434708451406699,0.022241294827791587,0.04749709558465104,0.08442114458539318,0.18783057853775775
KANs,Relative,Y,0.00394258985849123,0.020154462309098897,0.043552997366578416,0.0782822936264001,0.17524668311863725
KANs,Relative,Z,0.0012359672624945362,0.0063325686358389754,0.01394571738352579,0.02622657905126112,0.06110578069856203
GPs,logD,X,7.25099143180863e-05,0.00037491152957391805,0.0008540510566599213,0.0017450890536847563,0.006294183450236548
GPs,logD,Y,0.00011301000047813648,0.000588201122347809,0.0013350341844139968,0.002610811049341577,0.007964492548737602
GPs,logD,Z,0.00011090425212836321,0.0005691031042858175,0.0012564814497280086,0.0024060266648151737,0.008701605695835005
NNs,logD,X,0.002581151016494099,0.013221534354050435,0.028850882626868746,0.05287272161810197,0.11185481645985222
NNs,logD,Y,0.002447167880247375,0.012609181004948709,0.02785385980854753,0.05183144953427349,0.11061795735077198
NNs,logD,Z,0.002148532341303211,0.010963932505860249,0.023545296396531024,0.04294385678288779,0.1018418541488306
KANs,logD,X,0.0026253212642470937,0.0134807456688633,0.03062086555962934,0.061231102215516975,0.15219270189855827
KANs,logD,Y,0.0026034103682416334,0.01351688166115017,0.030720704192583825,0.06056815907397095,0.1407912597782943
KANs,logD,Z,0.0024248452910434317,0.012786876454695173,0.03057830077496279,0.06720801514541325,0.20361357716918843
