model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.002525137217001572,0.013927652414266516,0.038378702133571974,0.12018266739442585,0.5385994167980371
GPs,Absolute,Y,0.0026454552928984357,0.014529720704798521,0.03991023516061598,0.1234144196236645,0.5686581370128253
GPs,Absolute,Z,0.0015971575143160388,0.008681477600247733,0.022662465350843153,0.06528926880127595,0.4129517557433673
NNs,Absolute,X,0.011836781808797766,0.06045905310809063,0.13022627342975976,0.2310599379284517,0.46327961050458955
NNs,Absolute,Y,0.0120257008187742,0.06077096604003751,0.12966978130974635,0.22842543703758944,0.4607153760494308
NNs,Absolute,Z,0.007381520710912459,0.03793029355280677,0.0820657788502499,0.1481121336573254,0.3120235638286548
KANs,Absolute,X,0.011404992432894596,0.05834404075636529,0.12813409964975775,0.24556751333542332,0.5986723718430691
KANs,Absolute,Y,0.010317888363370775,0.053721324083814526,0.12168471067904574,0.24038021430798684,0.6148172013391995
KANs,Absolute,Z,0.00530615933639882,0.027303720903849693,0.060563491521116064,0.11691888853556048,0.2959607170643592
GPs,Relative,X,0.0011851557432939392,0.0064473929309028025,0.015331884528538842,0.03255252761345673,0.19637883952501764
GPs,Relative,Y,0.0011207445961541316,0.0061474268136753885,0.015342633755150659,0.03254245178220011,0.1690549186719727
GPs,Relative,Z,0.0005750748538203898,0.002947697566160451,0.006515829359735159,0.01319294724310497,0.05271716764374149
NNs,Relative,X,0.00799370311854178,0.04066875033822456,0.08674986424190353,0.1529179776923746,0.30055843301978064
NNs,Relative,Y,0.007560779276195584,0.038409403508459145,0.08184562107529142,0.1424320865884705,0.26846418344341366
NNs,Relative,Z,0.004472199186946624,0.02295669839401082,0.04936426693358893,0.08742414697126066,0.16519738382449833
KANs,Relative,X,0.005618548013612346,0.02885572941661174,0.06443308619955568,0.13433794016848638,0.5177301409767852
KANs,Relative,Y,0.00556596194165574,0.02873248222570271,0.06398989204350246,0.132103906629501,0.48328120977047284
KANs,Relative,Z,0.0019038852379337223,0.009911686786156407,0.022570350043315257,0.047063411529917734,0.1859097280653551
GPs,logD,X,0.00012155196206098395,0.0006368743593524462,0.0015150327218801385,0.0036045784605894804,0.02307757355054657
GPs,logD,Y,0.00018197694537308297,0.0009540294078402949,0.002234553644742218,0.004975163202236947,0.024425015668619078
GPs,logD,Z,0.00017476821064758009,0.0009086981338650435,0.002062572012798565,0.004431499362381332,0.026525376965868264
NNs,logD,X,0.0032867990222031685,0.016855859873118634,0.03665513209897009,0.06766715542384474,0.14123472360307476
NNs,logD,Y,0.0033335170022388283,0.01718962838726007,0.03788301580933284,0.06932210839557851,0.1436835078755725
NNs,logD,Z,0.0027660751996552934,0.014131439792529232,0.030683703118518202,0.05665671312271012,0.13627401523277957
KANs,logD,X,0.0027443305559142596,0.013984581186559958,0.031155738514444642,0.06193444420031542,0.15687820470693936
KANs,logD,Y,0.0026483616453697903,0.013723288912885157,0.030843861945021755,0.06201632944564606,0.15868550380436963
KANs,logD,Z,0.0023901211858330385,0.012739942276846133,0.030621761119253965,0.06873685310160249,0.20974191158174715
