model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0024581748727636964,0.013260921470589548,0.035037153373369545,0.10533720761510457,0.5083325225945952
GPs,Absolute,Y,0.00240536844803807,0.013067478550011558,0.03585957043910204,0.11163817509869141,0.532754602696653
GPs,Absolute,Z,0.0014786908673672216,0.007948257191330688,0.01993828059149083,0.054007076357950545,0.35593110341728956
NNs,Absolute,X,0.011741747521408418,0.05957751403930639,0.12791548451543844,0.2257148898300605,0.45003777331493355
NNs,Absolute,Y,0.011669972799331074,0.05923976867272074,0.12701677414988133,0.22462122880762864,0.4542800888787671
NNs,Absolute,Z,0.007319026060522138,0.037130097056299216,0.08021533526121868,0.14505135079550052,0.3098190823119268
KANs,Absolute,X,0.011042890859936405,0.05599292065577391,0.12324351957708296,0.23602353751291671,0.5386653998914411
KANs,Absolute,Y,0.010758305068750586,0.055752866648477784,0.12442086493581012,0.24013113146739587,0.5676118807751607
KANs,Absolute,Z,0.004990201421509361,0.02549556281197035,0.056103386246575404,0.10689038732024464,0.27278842067894815
GPs,Relative,X,0.0010825852313147367,0.005767456710795177,0.013579539144974673,0.029423427352732234,0.19340379973588684
GPs,Relative,Y,0.0009986133586953052,0.0054592391242156285,0.013495778622392485,0.02924230474161288,0.16514955745177587
GPs,Relative,Z,0.0005183375819041158,0.002650041712011275,0.005834820310921751,0.01183631301568118,0.05077246498696005
NNs,Relative,X,0.007221615314202888,0.036423628024565446,0.07782432469439737,0.13549233740614688,0.2641751920868375
NNs,Relative,Y,0.007038427899907074,0.036111661635719494,0.07741415044026734,0.13593144718296024,0.2584257850128975
NNs,Relative,Z,0.00425764218925927,0.021700626747210433,0.04635822564366121,0.08141943341221647,0.15206590338717843
KANs,Relative,X,0.004463779924378364,0.022967188129508986,0.05073642874828413,0.09777082773539322,0.3371639919591217
KANs,Relative,Y,0.0044108987429597795,0.0226761896172456,0.049923204714577785,0.09554076584692317,0.2782447105108909
KANs,Relative,Z,0.0014286722061629066,0.0073421508760921905,0.016407101646024047,0.03225544147981774,0.08548388684400932
GPs,logD,X,0.00011738878325553427,0.0006103351171775455,0.0014362368349785104,0.0033424428652299443,0.019713906810428238
GPs,logD,Y,0.0001749682472079482,0.0009167343108484605,0.00215753527800272,0.004726065522783374,0.022106894395735315
GPs,logD,Z,0.0001682641251883499,0.0008747594419576954,0.0019686673159593493,0.0040995503903927255,0.022755986779857428
NNs,logD,X,0.003544008781496297,0.018029168415891195,0.03909719878718476,0.07124855790640627,0.14587575336642872
NNs,logD,Y,0.0031242856198998694,0.016187161775485293,0.03584384513755104,0.06644021837459269,0.1375447124813011
NNs,logD,Z,0.0027367861931791027,0.014172503364522943,0.031045086815599254,0.056842855414786175,0.12766236720424093
KANs,logD,X,0.002642947341868091,0.013739819905712602,0.03139276767498417,0.062779951182934,0.16137255955231175
KANs,logD,Y,0.002707285330564059,0.013902984094981974,0.03155659912995973,0.06390619366082051,0.16767368578795597
KANs,logD,Z,0.0024262030906861856,0.012623682205148201,0.030190086616309467,0.06944397253696055,0.21928710070179172
