model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0009144545469374599,0.004785354206505055,0.011382111753272195,0.030252606415044847,0.23387094061077954
GPs,Absolute,Y,0.0009013839458009709,0.004750623241187468,0.011563171677007489,0.030984318461869553,0.23264112717186378
GPs,Absolute,Z,0.0005893465296972878,0.003068929346733945,0.0071258565719689495,0.016116249935021552,0.11024024688577895
NNs,Absolute,X,0.009388906282277164,0.04750973931727523,0.10167002089860172,0.17776062311829005,0.33941794492339583
NNs,Absolute,Y,0.009503774752573102,0.04828815062793547,0.10321010059881652,0.18169422562353846,0.35103119438473723
NNs,Absolute,Z,0.0054764944190303765,0.02788283171832895,0.05952174849193603,0.10424036450133653,0.19838386025776858
KANs,Absolute,X,0.009279631735403249,0.04734726763804892,0.10491055914914377,0.20347278217200226,0.43577325343565704
KANs,Absolute,Y,0.008789498512137306,0.04617694562014324,0.10705333335979941,0.2156424237970198,0.4684593344751484
KANs,Absolute,Z,0.004225388989266455,0.021882997824358763,0.04806979192305588,0.08930937603581393,0.1908870379918478
GPs,Relative,X,0.00041681114913424136,0.0021991500331138836,0.005218155739393937,0.011808636674823885,0.08408629117983726
GPs,Relative,Y,0.00040724863328293616,0.002157304212932032,0.00522109422383446,0.0117826226487086,0.06907731287530923
GPs,Relative,Z,0.00023958762663308516,0.0012364305729842123,0.002743976724425945,0.005376267822524566,0.021595259486093123
NNs,Relative,X,0.006206281777079426,0.03155591382960532,0.06697632541473425,0.11754837848645106,0.22465380049666006
NNs,Relative,Y,0.005902219384809819,0.030240287600271754,0.06470048142011064,0.11266882443200521,0.20917024576746496
NNs,Relative,Z,0.0032216791286599294,0.01647178548952971,0.035094883959601586,0.06092101485411713,0.10990264478297657
KANs,Relative,X,0.0039262848058870484,0.0200166745406766,0.04327034344232239,0.07763657783053018,0.17566890457301848
KANs,Relative,Y,0.0036921002261952386,0.01904732554404223,0.04110978628905637,0.07380119669946633,0.16470494985309794
KANs,Relative,Z,0.0010679551575935274,0.005531131364446773,0.012222175859895115,0.023638383681113817,0.056534574183339695
GPs,logD,X,6.92906034260865e-05,0.0003590782704216977,0.0008126827347687132,0.0016477557144238264,0.005790157947430422
GPs,logD,Y,0.00010846535309145256,0.0005632838153541986,0.0012657134661401837,0.002468158518293073,0.007422293638388018
GPs,logD,Z,0.00010734403802599157,0.0005514697931531531,0.0012127888510915508,0.002305866659979592,0.008093125964464886
NNs,logD,X,0.0024776898168064054,0.012684172423293671,0.02794153286601786,0.05234832471786427,0.11268756679728538
NNs,logD,Y,0.00236477102544278,0.01215343859813306,0.026674379027612716,0.0497590094791652,0.10744126932663767
NNs,logD,Z,0.0021587105818723696,0.010964470743293979,0.023602204656712034,0.04264338647489828,0.09892116398852012
KANs,logD,X,0.002450883402636145,0.012898640704651354,0.029828313206841026,0.059880239080826736,0.1506037050709329
KANs,logD,Y,0.0023268410086862094,0.012214205876925344,0.028194715607964715,0.05811744989013187,0.13568519269079518
KANs,logD,Z,0.0024296618859548816,0.012534697890094003,0.02954102100082645,0.06584498945360323,0.1992148139779855
