model,representation,axis,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m
GPs,Absolute,X,0.0011022605641580877,0.005780837303855368,0.013970675365527041,0.03879306851461306,0.2916023903276335
GPs,Absolute,Y,0.0010765097320961094,0.005686889206908463,0.014130277011518033,0.03968117872732135,0.29069251451586503
GPs,Absolute,Z,0.0007039763103165342,0.003647368056512501,0.008473524689750156,0.019493124254438554,0.1376373700299637
NNs,Absolute,X,0.009227590170339773,0.04705033716818313,0.100515920526731,0.17749292550636694,0.3473439209576812
NNs,Absolute,Y,0.009522965006795309,0.048156026449586206,0.10286512731145414,0.18056778727720507,0.3434992406186882
NNs,Absolute,Z,0.005540763748263189,0.028339896586976363,0.060755554704786996,0.10684393559705599,0.2060693745237614
KANs,Absolute,X,0.009210728430870653,0.04749975017835202,0.1045846538593469,0.20037806890246185,0.45776232498726677
KANs,Absolute,Y,0.009313859483422005,0.04863955843770837,0.11110021295151218,0.21867146047957886,0.48628480517689154
KANs,Absolute,Z,0.004571337136776266,0.023500170886724348,0.05126730039993227,0.09376947935098234,0.20337949442219302
GPs,Relative,X,0.0005125191697956388,0.0027138549692052316,0.006455523983915468,0.014321101671631031,0.08868846686720089
GPs,Relative,Y,0.0005069661439457196,0.0026839969009694875,0.006445538653141236,0.014258844114747371,0.07505771348422867
GPs,Relative,Z,0.00028274233149378354,0.0014563592832128602,0.003202428338679786,0.006291999703989054,0.023575904317845953
NNs,Relative,X,0.006095449119986241,0.030953838693839775,0.06622547506792664,0.11610942603710461,0.22440229663213287
NNs,Relative,Y,0.005967942800902818,0.03024049290302544,0.06431559535402581,0.11257885633495812,0.2091833005818075
NNs,Relative,Z,0.003349312894096401,0.01708483640777428,0.036664852859907386,0.06456178228306886,0.11848855311016875
KANs,Relative,X,0.0043260330066398345,0.021974801652028676,0.04704418083732442,0.08471628483365769,0.19212915982751816
KANs,Relative,Y,0.004074596244107187,0.02068745501707208,0.0444641861100048,0.07961807013413308,0.16826962929392364
KANs,Relative,Z,0.0011743380430680017,0.006083391618093889,0.01355186683067272,0.025923442451207535,0.06108629368866676
GPs,logD,X,7.580841066713306e-05,0.0003942164788511837,0.0009005742913836823,0.0018545954063905468,0.006979211035004941
GPs,logD,Y,0.00012050050232921273,0.0006287338105500639,0.001424841655296008,0.002810144734906206,0.008845479157330454
GPs,logD,Z,0.00011686335636280631,0.0006016867184557018,0.001325089787480388,0.002540821085763534,0.009665249867931101
NNs,logD,X,0.0024512757084255267,0.012645374719977232,0.027913971038829644,0.05224818918340962,0.11128795019580824
NNs,logD,Y,0.002460105717486995,0.012628858170727342,0.02795851454905951,0.051834331749719464,0.10848967869702943
NNs,logD,Z,0.002099562596160887,0.010751868463373171,0.02329424653983292,0.042658062907019345,0.1044217327900271
KANs,logD,X,0.0025453093996393727,0.01290685049691409,0.02961569223104732,0.06028851525765705,0.14806085649034958
KANs,logD,Y,0.002426531695816858,0.012676933113799471,0.028401898422055982,0.057671078118608055,0.13441946760033308
KANs,logD,Z,0.002435923050405359,0.012536725024943185,0.029359091581156793,0.06557449334408177,0.19764731149881137
