model,representation,mean,median,p90,p95,max
KANs,absolute,32.84 ± 3.89,22.57 ± 1.84,60.39 ± 6.58,82.25 ± 11.84,915.08 ± 394.9
KANs,log_d,10.57 ± 1.66,6.43 ± 1.02,20.85 ± 2.05,29.47 ± 3.14,250.0 ± 47.6
KANs,relative,21.47 ± 18.26,14.84 ± 13.24,41.41 ± 38.37,58.98 ± 51.94,547.35 ± 189.09
gps,absolute,19.98 ± 0.97,6.0 ± 0.38,55.0 ± 3.65,89.97 ± 6.23,405.1 ± 64.45
gps,log_d,1.16 ± 0.11,0.4 ± 0.02,1.76 ± 0.1,3.89 ± 0.4,120.83 ± 46.7
gps,relative,6.49 ± 0.68,2.13 ± 0.1,11.7 ± 1.18,25.56 ± 2.69,429.39 ± 141.28
nns,absolute,28.51 ± 2.27,24.1 ± 2.17,49.07 ± 4.0,63.02 ± 4.96,285.52 ± 43.99
nns,log_d,8.8 ± 0.94,7.13 ± 0.84,15.9 ± 1.57,20.6 ± 2.05,163.28 ± 9.37
nns,relative,17.16 ± 1.07,15.15 ± 1.06,28.76 ± 1.85,35.23 ± 2.34,150.34 ± 14.46
