model,representation,mean,median,p90,p95,max
KANs,absolute,25.53 ± 0.85,19.65 ± 0.48,49.9 ± 1.69,63.24 ± 3.08,490.07 ± 209.65
KANs,log_d,9.84 ± 0.48,6.44 ± 0.27,19.86 ± 0.81,27.97 ± 1.22,200.09 ± 17.01
KANs,relative,9.6 ± 0.65,7.33 ± 0.66,17.5 ± 0.96,23.71 ± 1.38,228.43 ± 59.44
gps,absolute,9.46 ± 0.77,2.16 ± 0.17,19.39 ± 1.61,40.29 ± 4.58,759.83 ± 186.67
gps,log_d,0.57 ± 0.03,0.25 ± 0.0,0.76 ± 0.01,1.36 ± 0.07,129.06 ± 39.88
gps,relative,4.24 ± 0.79,0.94 ± 0.08,5.18 ± 0.45,12.45 ± 1.98,944.6 ± 617.95
nns,absolute,22.9 ± 1.48,19.94 ± 1.22,38.52 ± 2.85,48.15 ± 3.84,203.39 ± 31.58
nns,log_d,7.36 ± 0.69,5.86 ± 0.67,13.27 ± 0.94,17.45 ± 1.23,154.65 ± 21.5
nns,relative,14.29 ± 1.36,12.66 ± 1.2,23.81 ± 2.28,28.93 ± 2.88,142.15 ± 6.94
