model,representation,mean,median,p90,p95,max
KANs,absolute,26.91 ± 1.32,19.88 ± 0.61,51.64 ± 1.97,66.67 ± 2.79,630.33 ± 272.31
KANs,log_d,9.88 ± 1.12,6.42 ± 0.52,19.69 ± 1.75,27.52 ± 2.45,206.23 ± 28.97
KANs,relative,10.42 ± 1.0,7.91 ± 0.93,18.79 ± 1.35,25.49 ± 1.72,303.97 ± 88.68
gps,absolute,11.18 ± 0.75,2.64 ± 0.3,25.39 ± 2.36,50.31 ± 5.7,637.12 ± 132.83
gps,log_d,0.7 ± 0.06,0.27 ± 0.01,0.89 ± 0.02,1.67 ± 0.08,136.6 ± 32.86
gps,relative,4.03 ± 0.7,1.14 ± 0.11,5.9 ± 0.5,13.47 ± 2.0,516.93 ± 331.31
nns,absolute,22.99 ± 1.7,19.94 ± 1.48,38.77 ± 3.15,48.59 ± 3.72,215.67 ± 30.96
nns,log_d,7.48 ± 0.8,5.99 ± 0.69,13.35 ± 1.34,17.48 ± 1.8,157.14 ± 30.06
nns,relative,14.38 ± 0.78,12.73 ± 0.75,24.06 ± 1.33,29.18 ± 1.77,138.72 ± 12.37
