model,representation,mean,median,p90,p95,max
KANs,absolute,27.6 ± 4.32,20.54 ± 2.3,54.06 ± 8.74,69.45 ± 11.96,602.04 ± 239.17
KANs,log_d,10.03 ± 0.5,6.48 ± 0.24,19.54 ± 1.2,28.07 ± 1.33,224.55 ± 50.34
KANs,relative,9.97 ± 0.55,7.64 ± 0.58,18.03 ± 0.97,24.46 ± 1.26,248.32 ± 126.22
gps,absolute,11.22 ± 0.51,2.53 ± 0.23,24.63 ± 1.51,50.03 ± 3.8,830.74 ± 186.46
gps,log_d,0.67 ± 0.03,0.27 ± 0.01,0.86 ± 0.02,1.57 ± 0.08,141.55 ± 29.3
gps,relative,4.36 ± 0.88,1.08 ± 0.11,6.0 ± 0.78,14.29 ± 2.95,653.35 ± 303.84
nns,absolute,24.08 ± 1.85,20.87 ± 1.45,40.59 ± 3.31,50.69 ± 4.79,258.62 ± 64.02
nns,log_d,7.65 ± 0.89,6.22 ± 0.67,13.59 ± 1.86,17.59 ± 2.41,157.71 ± 12.15
nns,relative,14.24 ± 0.29,12.58 ± 0.3,23.94 ± 0.59,29.1 ± 0.89,137.34 ± 8.51
