model,representation,mean,median,p90,p95,max
KANs,absolute,26.97 ± 1.85,20.08 ± 0.91,52.06 ± 3.02,66.71 ± 5.03,778.22 ± 311.83
KANs,log_d,9.85 ± 0.57,6.4 ± 0.38,19.33 ± 1.29,27.04 ± 1.53,229.3 ± 77.42
KANs,relative,9.78 ± 0.69,7.44 ± 0.46,17.81 ± 1.53,24.15 ± 1.98,255.68 ± 115.68
gps,absolute,10.77 ± 0.29,2.48 ± 0.18,23.07 ± 0.89,47.49 ± 2.71,669.3 ± 88.1
gps,log_d,0.64 ± 0.04,0.26 ± 0.01,0.84 ± 0.02,1.54 ± 0.08,117.63 ± 42.62
gps,relative,4.28 ± 0.83,1.06 ± 0.05,5.47 ± 0.31,12.94 ± 1.62,742.26 ± 446.59
nns,absolute,23.33 ± 1.8,20.2 ± 1.65,39.44 ± 3.38,49.47 ± 4.49,232.27 ± 53.6
nns,log_d,7.59 ± 0.69,6.19 ± 0.56,13.37 ± 1.13,17.35 ± 1.7,153.86 ± 18.9
nns,relative,13.85 ± 1.01,12.28 ± 0.87,23.05 ± 1.77,27.91 ± 2.26,137.15 ± 9.94
