model,representation,mean,median,p90,p95,max
KANs,absolute,27.93 ± 4.44,20.4 ± 2.36,54.13 ± 7.59,70.98 ± 13.77,599.83 ± 168.16
KANs,log_d,10.3 ± 0.82,6.74 ± 0.44,19.92 ± 1.36,28.59 ± 2.47,201.21 ± 18.92
KANs,relative,10.38 ± 1.08,7.97 ± 0.98,18.52 ± 2.06,25.1 ± 2.72,323.06 ± 125.55
gps,absolute,10.44 ± 0.74,2.33 ± 0.16,21.95 ± 2.69,45.6 ± 6.12,740.0 ± 175.14
gps,log_d,0.62 ± 0.04,0.26 ± 0.01,0.82 ± 0.02,1.49 ± 0.09,114.51 ± 35.33
gps,relative,4.31 ± 1.19,1.03 ± 0.09,5.47 ± 0.57,12.87 ± 2.27,911.63 ± 699.41
nns,absolute,24.45 ± 1.56,21.1 ± 1.3,41.56 ± 2.91,52.65 ± 4.04,209.96 ± 43.18
nns,log_d,7.53 ± 0.67,6.03 ± 0.5,13.49 ± 1.2,17.65 ± 1.8,157.34 ± 13.94
nns,relative,13.73 ± 0.76,12.13 ± 0.68,22.91 ± 1.39,27.85 ± 1.74,132.98 ± 11.49
