model,representation,mean,median,p90,p95,max
KANs,absolute,26.79 ± 1.64,19.98 ± 0.88,52.35 ± 3.17,67.38 ± 5.23,479.56 ± 96.36
KANs,log_d,9.98 ± 0.69,6.6 ± 0.52,19.52 ± 0.48,27.48 ± 1.51,202.96 ± 36.49
KANs,relative,10.03 ± 0.94,7.77 ± 0.89,18.14 ± 1.67,24.47 ± 1.82,287.42 ± 105.91
gps,absolute,10.45 ± 0.36,2.13 ± 0.14,21.19 ± 1.04,44.34 ± 1.98,795.78 ± 153.39
gps,log_d,0.58 ± 0.03,0.25 ± 0.01,0.78 ± 0.02,1.38 ± 0.06,126.46 ± 35.51
gps,relative,4.23 ± 0.93,0.99 ± 0.12,5.23 ± 0.54,12.55 ± 2.57,863.26 ± 461.9
nns,absolute,23.18 ± 1.99,20.14 ± 1.73,39.08 ± 3.43,48.76 ± 4.51,213.22 ± 51.52
nns,log_d,7.47 ± 0.79,6.03 ± 0.69,13.33 ± 1.42,17.27 ± 1.91,156.48 ± 12.64
nns,relative,13.92 ± 0.55,12.33 ± 0.48,23.12 ± 1.06,28.02 ± 1.31,140.16 ± 8.14
