model,representation,mean,median,p90,p95,max
KANs,absolute,200.48 ± 49.51,116.64 ± 9.55,309.71 ± 33.36,493.09 ± 91.84,7408.44 ± 5056.37
KANs,log_d,85.75 ± 92.7,50.37 ± 51.75,168.62 ± 178.81,242.98 ± 225.74,7260.08 ± 19688.52
KANs,relative,132.99 ± 39.64,78.69 ± 25.71,299.02 ± 103.88,458.22 ± 138.92,2126.19 ± 698.82
gps,absolute,65.49 ± 3.73,39.2 ± 4.12,162.44 ± 8.35,212.86 ± 12.43,419.86 ± 9.51
gps,log_d,6.41 ± 0.82,1.63 ± 0.15,15.39 ± 2.42,30.35 ± 5.51,239.02 ± 30.85
gps,relative,22.76 ± 1.42,14.73 ± 0.77,47.33 ± 4.81,74.89 ± 7.45,291.97 ± 68.91
nns,absolute,64.21 ± 7.38,46.76 ± 5.45,125.02 ± 14.25,171.17 ± 18.93,941.17 ± 334.1
nns,log_d,17.94 ± 0.35,13.17 ± 0.37,34.49 ± 1.86,46.58 ± 2.09,227.03 ± 33.6
nns,relative,43.85 ± 3.34,33.6 ± 2.69,84.77 ± 7.58,113.72 ± 12.15,449.44 ± 117.47
