model,representation,mean,median,p90,p95,max
KANs,absolute,30.5 ± 2.67,21.69 ± 1.45,57.49 ± 4.71,76.89 ± 8.67,835.53 ± 437.15
KANs,log_d,10.86 ± 1.27,6.66 ± 0.49,20.81 ± 1.78,30.13 ± 2.97,270.17 ± 88.68
KANs,relative,15.04 ± 6.46,9.2 ± 1.86,25.88 ± 9.77,43.25 ± 27.48,634.21 ± 267.34
gps,absolute,19.62 ± 0.75,5.5 ± 0.41,52.59 ± 3.37,91.05 ± 7.2,463.66 ± 76.28
gps,log_d,1.17 ± 0.07,0.38 ± 0.01,1.61 ± 0.1,3.68 ± 0.38,149.35 ± 42.55
gps,relative,5.95 ± 0.44,1.98 ± 0.14,10.64 ± 0.98,22.68 ± 2.49,394.39 ± 100.96
nns,absolute,27.65 ± 1.08,23.55 ± 0.57,47.27 ± 2.33,60.56 ± 4.11,254.15 ± 43.92
nns,log_d,8.96 ± 0.69,7.19 ± 0.7,15.73 ± 1.2,20.48 ± 1.46,172.12 ± 10.71
nns,relative,16.27 ± 0.77,14.27 ± 0.67,27.46 ± 1.42,33.57 ± 1.8,160.61 ± 57.23
