model,representation,mean,median,p90,p95,max
KANs,absolute,28.36 ± 2.59,20.65 ± 1.16,54.64 ± 5.15,72.45 ± 9.42,809.31 ± 226.64
KANs,log_d,9.68 ± 0.3,6.41 ± 0.15,20.03 ± 0.72,27.62 ± 0.93,223.82 ± 75.67
KANs,relative,10.79 ± 1.64,7.76 ± 0.85,18.91 ± 2.48,26.42 ± 4.39,449.18 ± 162.54
gps,absolute,14.4 ± 0.72,3.53 ± 0.23,34.24 ± 2.24,66.47 ± 5.15,632.57 ± 91.56
gps,log_d,0.86 ± 0.05,0.31 ± 0.01,1.12 ± 0.04,2.29 ± 0.23,155.66 ± 30.47
gps,relative,4.85 ± 0.55,1.36 ± 0.08,7.44 ± 0.75,17.24 ± 2.79,504.11 ± 119.77
nns,absolute,25.3 ± 1.67,21.86 ± 1.51,42.83 ± 2.74,53.85 ± 3.66,235.89 ± 28.61
nns,log_d,7.97 ± 0.41,6.51 ± 0.38,14.2 ± 0.75,18.44 ± 1.08,152.1 ± 26.19
nns,relative,15.12 ± 0.67,13.28 ± 0.55,25.51 ± 1.37,31.15 ± 1.78,138.53 ± 15.71
