model,representation,mean,median,p90,p95,max
KANs,absolute,26.62 ± 1.23,20.0 ± 0.7,51.2 ± 1.56,65.76 ± 3.06,565.27 ± 137.78
KANs,log_d,10.41 ± 0.81,6.8 ± 0.45,20.83 ± 1.69,28.6 ± 2.16,219.53 ± 45.91
KANs,relative,10.76 ± 1.24,8.07 ± 0.92,19.15 ± 2.16,26.05 ± 3.11,358.32 ± 201.48
gps,absolute,12.64 ± 0.54,2.96 ± 0.21,29.7 ± 2.61,58.07 ± 4.32,640.69 ± 122.44
gps,log_d,0.77 ± 0.05,0.29 ± 0.01,0.97 ± 0.02,1.9 ± 0.19,149.37 ± 32.33
gps,relative,4.4 ± 0.84,1.22 ± 0.09,6.64 ± 0.91,15.21 ± 3.16,506.57 ± 280.31
nns,absolute,24.68 ± 1.51,21.19 ± 1.41,42.11 ± 2.57,53.25 ± 2.92,228.12 ± 28.84
nns,log_d,8.24 ± 0.55,6.57 ± 0.46,14.72 ± 1.06,19.3 ± 1.42,159.72 ± 22.84
nns,relative,14.53 ± 0.49,12.86 ± 0.44,24.16 ± 0.97,29.44 ± 1.22,138.96 ± 13.48
