model,representation,mean,median,p90,p95,max
KANs,absolute,35.38 ± 8.6,23.66 ± 3.87,65.9 ± 16.4,91.81 ± 28.43,1054.99 ± 897.17
KANs,log_d,11.41 ± 1.74,6.67 ± 0.45,21.15 ± 1.45,30.78 ± 3.25,308.7 ± 148.31
KANs,relative,23.57 ± 13.22,13.45 ± 9.34,41.92 ± 25.92,70.28 ± 37.44,1059.57 ± 796.21
gps,absolute,22.67 ± 1.25,7.77 ± 0.81,61.98 ± 5.41,95.94 ± 8.25,385.58 ± 23.27
gps,log_d,1.49 ± 0.14,0.44 ± 0.02,2.3 ± 0.14,5.28 ± 0.49,146.23 ± 42.24
gps,relative,7.52 ± 0.56,2.64 ± 0.09,14.17 ± 1.4,29.25 ± 3.24,441.76 ± 81.19
nns,absolute,30.54 ± 1.85,25.63 ± 1.51,52.71 ± 3.43,68.69 ± 5.13,330.09 ± 130.15
nns,log_d,9.85 ± 1.17,7.98 ± 0.91,17.42 ± 2.2,22.55 ± 2.98,174.32 ± 10.41
nns,relative,18.81 ± 0.77,16.41 ± 0.69,32.01 ± 1.22,39.61 ± 1.8,157.62 ± 27.56
