model,representation,mean,median,p90,p95,max
KANs,absolute,30.19 ± 4.5,21.44 ± 1.62,55.89 ± 6.43,73.75 ± 10.78,915.73 ± 444.37
KANs,log_d,10.45 ± 1.08,6.5 ± 0.46,20.56 ± 1.41,29.14 ± 2.98,282.28 ± 136.38
KANs,relative,12.74 ± 4.33,8.7 ± 2.69,22.16 ± 8.6,32.77 ± 14.57,525.72 ± 211.42
gps,absolute,17.27 ± 0.91,4.37 ± 0.33,44.75 ± 3.63,80.05 ± 5.55,560.55 ± 147.43
gps,log_d,0.97 ± 0.05,0.35 ± 0.01,1.36 ± 0.04,2.9 ± 0.23,122.02 ± 39.44
gps,relative,5.69 ± 0.44,1.71 ± 0.12,9.14 ± 0.72,20.39 ± 2.51,568.42 ± 197.58
nns,absolute,27.44 ± 1.54,23.52 ± 1.39,46.58 ± 2.58,60.09 ± 3.75,240.57 ± 32.13
nns,log_d,8.84 ± 1.02,7.11 ± 0.81,15.96 ± 1.98,20.48 ± 2.68,165.36 ± 8.57
nns,relative,15.91 ± 1.19,14.1 ± 1.11,26.67 ± 2.05,32.24 ± 2.4,140.72 ± 17.77
