model,representation,mean,median,p90,p95,max
KANs,absolute,61.11 ± 12.83,39.85 ± 10.79,113.13 ± 31.57,164.63 ± 46.23,2301.01 ± 1143.95
KANs,log_d,28.14 ± 23.37,14.16 ± 12.3,59.04 ± 59.48,97.0 ± 94.14,990.66 ± 427.11
KANs,relative,73.84 ± 26.22,43.97 ± 26.99,154.39 ± 50.4,246.5 ± 55.05,1449.25 ± 446.18
gps,absolute,38.02 ± 2.39,19.57 ± 0.77,96.91 ± 7.77,141.03 ± 13.04,403.01 ± 21.84
gps,log_d,3.24 ± 0.31,0.73 ± 0.02,6.45 ± 0.59,13.94 ± 1.5,192.88 ± 30.67
gps,relative,13.49 ± 0.89,6.41 ± 0.43,28.35 ± 3.18,52.91 ± 5.53,352.5 ± 61.44
nns,absolute,42.58 ± 2.24,32.95 ± 1.99,79.91 ± 5.71,108.18 ± 9.03,573.8 ± 215.35
nns,log_d,12.12 ± 0.78,9.54 ± 0.55,21.31 ± 1.47,27.97 ± 2.39,195.44 ± 20.56
nns,relative,25.97 ± 1.81,21.08 ± 1.42,46.89 ± 4.22,62.08 ± 5.57,245.76 ± 30.51
