model,representation,mean,median,p90,p95,max
KANs,absolute,42.4 ± 12.15,27.05 ± 5.66,73.66 ± 16.71,106.38 ± 27.81,1588.17 ± 1231.4
KANs,log_d,11.39 ± 0.91,6.69 ± 0.47,21.94 ± 1.54,32.12 ± 2.66,429.43 ± 493.77
KANs,relative,25.5 ± 9.24,13.24 ± 3.93,47.53 ± 20.31,85.17 ± 39.66,913.36 ± 373.65
gps,absolute,24.02 ± 1.45,9.19 ± 1.05,64.54 ± 7.22,99.38 ± 10.7,383.56 ± 21.19
gps,log_d,1.67 ± 0.15,0.47 ± 0.02,2.62 ± 0.2,6.01 ± 0.46,175.7 ± 15.83
gps,relative,8.17 ± 0.77,3.03 ± 0.25,15.29 ± 1.95,31.25 ± 4.85,440.27 ± 112.14
nns,absolute,31.66 ± 1.96,26.31 ± 1.78,55.55 ± 3.96,72.63 ± 5.74,347.84 ± 117.62
nns,log_d,9.83 ± 1.12,8.03 ± 1.04,17.53 ± 1.88,22.35 ± 2.28,160.08 ± 29.86
nns,relative,18.95 ± 0.71,16.35 ± 0.76,32.21 ± 1.4,40.01 ± 1.93,197.06 ± 88.6
