model,representation,mean,median,p90,p95,max
KANs,absolute,29.11 ± 4.29,21.17 ± 2.54,55.76 ± 6.85,73.03 ± 10.81,599.68 ± 162.98
KANs,log_d,10.44 ± 1.36,6.59 ± 0.75,21.04 ± 2.46,29.34 ± 3.71,237.32 ± 52.06
KANs,relative,14.83 ± 10.62,10.43 ± 7.87,27.16 ± 22.29,38.13 ± 30.36,552.13 ± 229.16
gps,absolute,15.37 ± 0.53,4.01 ± 0.39,37.83 ± 2.45,70.76 ± 3.03,576.63 ± 96.35
gps,log_d,0.89 ± 0.04,0.33 ± 0.01,1.2 ± 0.02,2.47 ± 0.13,122.96 ± 38.45
gps,relative,5.09 ± 0.61,1.51 ± 0.11,8.27 ± 0.91,18.94 ± 3.15,510.38 ± 226.49
nns,absolute,26.11 ± 1.65,22.38 ± 1.3,44.26 ± 3.17,56.34 ± 4.58,257.95 ± 71.27
nns,log_d,8.67 ± 0.73,7.05 ± 0.58,15.35 ± 1.38,19.8 ± 1.95,165.91 ± 8.77
nns,relative,15.41 ± 0.85,13.57 ± 0.77,25.86 ± 1.64,31.61 ± 2.09,141.22 ± 13.33
