model,representation,mean,median,p90,p95,max
KANs,absolute,27.43 ± 1.18,20.06 ± 0.33,52.34 ± 1.47,67.56 ± 2.55,657.68 ± 177.98
KANs,log_d,9.5 ± 0.75,6.31 ± 0.44,19.26 ± 1.09,26.64 ± 1.88,205.22 ± 72.05
KANs,relative,11.29 ± 3.25,7.7 ± 0.89,19.45 ± 4.21,28.43 ± 10.15,531.89 ± 333.61
gps,absolute,15.2 ± 0.68,3.72 ± 0.3,36.29 ± 2.7,69.9 ± 5.17,619.48 ± 108.11
gps,log_d,0.86 ± 0.04,0.32 ± 0.01,1.14 ± 0.03,2.31 ± 0.18,123.78 ± 36.66
gps,relative,5.05 ± 0.53,1.43 ± 0.1,7.84 ± 0.94,18.36 ± 2.82,506.82 ± 178.75
nns,absolute,25.92 ± 2.25,22.23 ± 1.83,44.15 ± 4.28,55.8 ± 6.22,251.71 ± 36.75
nns,log_d,7.71 ± 0.55,6.28 ± 0.54,13.68 ± 0.88,17.7 ± 1.23,154.63 ± 23.83
nns,relative,15.18 ± 0.73,13.33 ± 0.61,25.51 ± 1.4,31.14 ± 1.8,149.25 ± 11.8
