model,representation,mean,median,p90,p95,max
KANs,absolute,27.76 ± 1.74,20.6 ± 0.72,52.52 ± 2.6,68.03 ± 4.87,602.78 ± 183.1
KANs,log_d,10.84 ± 1.27,6.74 ± 0.52,20.92 ± 1.74,30.4 ± 4.05,248.16 ± 56.98
KANs,relative,15.27 ± 9.94,10.59 ± 7.45,27.5 ± 20.46,38.89 ± 26.83,692.8 ± 537.7
gps,absolute,16.69 ± 0.91,4.2 ± 0.25,41.65 ± 3.64,78.19 ± 7.41,563.11 ± 160.5
gps,log_d,0.91 ± 0.05,0.34 ± 0.01,1.25 ± 0.06,2.52 ± 0.23,115.67 ± 42.35
gps,relative,5.45 ± 0.92,1.63 ± 0.14,8.49 ± 0.96,19.13 ± 3.55,600.35 ± 280.22
nns,absolute,26.94 ± 1.27,22.97 ± 1.24,46.27 ± 2.1,59.13 ± 2.48,258.65 ± 38.07
nns,log_d,8.99 ± 0.93,7.41 ± 0.78,15.82 ± 1.65,20.23 ± 2.28,153.81 ± 24.73
nns,relative,15.67 ± 1.05,13.81 ± 0.97,26.3 ± 1.81,32.07 ± 2.1,141.71 ± 14.26
