model,representation,mean,median,p90,p95,max
KANs,absolute,32.95 ± 5.7,23.11 ± 2.96,60.44 ± 11.28,81.19 ± 19.87,965.05 ± 368.37
KANs,log_d,11.65 ± 1.05,6.81 ± 0.37,22.04 ± 1.75,32.17 ± 3.74,332.08 ± 112.05
KANs,relative,16.56 ± 10.81,9.49 ± 4.06,31.02 ± 27.68,50.99 ± 51.86,721.92 ± 340.72
gps,absolute,20.64 ± 0.61,6.94 ± 0.72,56.59 ± 4.16,88.6 ± 4.96,390.24 ± 62.47
gps,log_d,1.31 ± 0.12,0.42 ± 0.01,2.02 ± 0.13,4.58 ± 0.36,137.36 ± 43.49
gps,relative,7.26 ± 0.71,2.32 ± 0.1,13.39 ± 1.6,28.7 ± 3.88,512.73 ± 157.5
nns,absolute,29.92 ± 1.72,25.18 ± 1.51,52.2 ± 3.93,67.54 ± 5.14,291.14 ± 43.28
nns,log_d,9.73 ± 1.41,8.06 ± 1.16,17.14 ± 2.41,21.65 ± 2.97,156.19 ± 31.4
nns,relative,17.34 ± 0.77,15.2 ± 0.66,29.23 ± 1.55,35.87 ± 1.87,142.45 ± 15.29
