model,representation,mean,median,p90,p95,max
KANs,absolute,43.95 ± 8.01,27.12 ± 1.69,76.29 ± 10.69,115.07 ± 27.24,1923.1 ± 1132.74
KANs,log_d,15.02 ± 2.37,7.22 ± 0.43,26.12 ± 3.67,44.37 ± 13.27,554.02 ± 247.8
KANs,relative,42.78 ± 20.75,23.0 ± 15.92,89.82 ± 50.05,151.53 ± 82.29,951.75 ± 282.97
gps,absolute,28.56 ± 1.5,12.94 ± 0.79,73.9 ± 6.37,112.79 ± 11.52,380.01 ± 12.36
gps,log_d,2.32 ± 0.25,0.56 ± 0.02,4.0 ± 0.45,9.11 ± 1.14,189.72 ± 18.61
gps,relative,10.07 ± 1.02,4.23 ± 0.26,20.33 ± 3.07,39.21 ± 6.42,358.52 ± 71.6
nns,absolute,35.13 ± 1.9,28.89 ± 1.75,62.42 ± 4.58,82.28 ± 6.76,363.99 ± 73.06
nns,log_d,10.92 ± 1.19,8.88 ± 0.92,19.56 ± 2.35,25.16 ± 3.18,160.38 ± 34.19
nns,relative,21.17 ± 1.46,18.08 ± 1.21,36.62 ± 2.82,46.06 ± 3.75,183.56 ± 40.6
