model,representation,mean,median,p90,p95,max
KANs,absolute,26.25 ± 1.03,19.89 ± 0.66,50.95 ± 1.8,64.93 ± 3.45,483.15 ± 137.97
KANs,log_d,9.98 ± 0.52,6.61 ± 0.67,19.9 ± 0.79,27.75 ± 0.99,217.44 ± 45.13
KANs,relative,13.7 ± 10.63,10.0 ± 7.41,25.48 ± 21.7,35.43 ± 31.34,368.66 ± 184.68
gps,absolute,11.78 ± 1.13,2.71 ± 0.26,26.85 ± 3.41,53.53 ± 8.01,594.63 ± 106.57
gps,log_d,0.7 ± 0.05,0.28 ± 0.01,0.91 ± 0.02,1.69 ± 0.1,127.55 ± 42.18
gps,relative,4.5 ± 0.95,1.15 ± 0.09,6.2 ± 0.63,14.62 ± 2.51,715.12 ± 544.36
nns,absolute,23.7 ± 0.86,20.36 ± 0.69,40.33 ± 1.93,51.06 ± 2.76,244.55 ± 47.33
nns,log_d,7.44 ± 0.97,6.1 ± 0.94,13.32 ± 1.72,17.1 ± 2.09,156.37 ± 11.16
nns,relative,13.96 ± 0.98,12.33 ± 0.83,23.31 ± 1.72,28.37 ± 2.13,139.42 ± 10.19
