model,representation,mean,median,p90,p95,max
KANs,absolute,27.77 ± 1.47,20.27 ± 0.56,53.02 ± 2.14,68.48 ± 3.33,677.12 ± 346.24
KANs,log_d,9.64 ± 0.49,6.46 ± 0.49,19.85 ± 0.71,27.09 ± 0.93,203.95 ± 31.29
KANs,relative,9.59 ± 0.57,7.26 ± 0.56,17.36 ± 0.87,23.84 ± 1.43,247.11 ± 109.77
gps,absolute,13.44 ± 0.6,3.31 ± 0.32,32.23 ± 2.89,61.66 ± 5.11,587.34 ± 137.91
gps,log_d,0.8 ± 0.07,0.3 ± 0.01,1.04 ± 0.03,2.05 ± 0.15,135.64 ± 46.79
gps,relative,4.78 ± 0.94,1.31 ± 0.09,7.05 ± 0.53,16.4 ± 1.81,574.47 ± 424.87
nns,absolute,25.54 ± 1.1,21.86 ± 1.0,43.73 ± 1.95,55.41 ± 2.87,250.18 ± 63.35
nns,log_d,7.97 ± 0.63,6.54 ± 0.54,13.92 ± 1.09,17.82 ± 1.42,166.18 ± 7.69
nns,relative,15.09 ± 1.16,13.34 ± 0.96,25.31 ± 2.2,30.68 ± 2.74,136.34 ± 10.5
