model,representation,mean,median,p90,p95,max
KANs,absolute,26.08 ± 0.58,19.63 ± 0.33,50.7 ± 1.31,64.79 ± 2.08,591.44 ± 219.48
KANs,log_d,9.67 ± 1.01,6.42 ± 0.32,19.41 ± 1.71,26.58 ± 2.51,229.31 ± 75.7
KANs,relative,10.17 ± 0.77,7.7 ± 0.63,18.06 ± 1.51,25.0 ± 2.13,347.41 ± 133.32
gps,absolute,12.24 ± 0.55,2.85 ± 0.25,28.13 ± 2.16,55.7 ± 4.51,657.59 ± 82.54
gps,log_d,0.74 ± 0.06,0.28 ± 0.01,0.94 ± 0.03,1.79 ± 0.16,128.44 ± 39.3
gps,relative,4.45 ± 0.83,1.18 ± 0.1,6.34 ± 0.66,14.63 ± 2.59,625.0 ± 394.2
nns,absolute,23.67 ± 1.11,20.48 ± 0.91,39.92 ± 1.98,50.3 ± 3.2,238.79 ± 35.98
nns,log_d,7.83 ± 0.73,6.31 ± 0.65,14.1 ± 1.29,18.2 ± 1.61,154.02 ± 29.21
nns,relative,14.84 ± 1.06,13.15 ± 0.98,24.79 ± 1.83,30.13 ± 2.18,138.92 ± 8.22
