model,representation,mean,median,p90,p95,max
KANs,absolute,30.57 ± 3.39,21.49 ± 1.83,57.31 ± 5.27,75.98 ± 8.28,953.44 ± 598.46
KANs,log_d,11.78 ± 1.94,7.01 ± 0.67,22.21 ± 2.39,33.17 ± 8.08,314.78 ± 110.65
KANs,relative,18.77 ± 14.66,12.39 ± 9.75,35.11 ± 29.92,53.24 ± 45.45,726.95 ± 638.59
gps,absolute,18.18 ± 0.63,5.13 ± 0.5,47.29 ± 3.05,83.83 ± 5.79,603.51 ± 190.91
gps,log_d,1.03 ± 0.07,0.37 ± 0.01,1.49 ± 0.07,3.22 ± 0.27,114.05 ± 35.01
gps,relative,5.72 ± 0.56,1.86 ± 0.14,9.77 ± 1.23,21.4 ± 3.86,437.7 ± 115.12
nns,absolute,27.55 ± 1.57,23.6 ± 1.25,47.04 ± 2.94,59.94 ± 4.56,246.12 ± 23.93
nns,log_d,9.05 ± 0.64,7.3 ± 0.62,16.2 ± 1.25,20.81 ± 1.67,165.32 ± 11.83
nns,relative,16.02 ± 0.83,14.11 ± 0.81,27.01 ± 1.36,32.87 ± 1.78,138.95 ± 14.22
