model,representation,mean,median,p90,p95,max
KANs,absolute,38.52 ± 5.82,24.7 ± 2.77,67.4 ± 8.15,98.31 ± 15.38,1781.09 ± 1422.33
KANs,log_d,10.3 ± 1.23,6.56 ± 0.39,20.06 ± 1.26,28.38 ± 2.62,297.2 ± 210.96
KANs,relative,25.06 ± 12.86,11.65 ± 3.69,47.49 ± 30.56,90.37 ± 68.51,991.9 ± 347.38
gps,absolute,26.03 ± 1.3,10.84 ± 0.92,67.99 ± 7.61,103.89 ± 11.12,381.71 ± 9.54
gps,log_d,1.9 ± 0.21,0.5 ± 0.03,3.02 ± 0.23,6.95 ± 0.83,175.38 ± 31.74
gps,relative,8.95 ± 1.11,3.46 ± 0.21,17.48 ± 2.04,34.71 ± 5.45,392.36 ± 136.34
nns,absolute,33.25 ± 2.62,27.51 ± 2.27,58.84 ± 5.26,76.91 ± 6.45,329.88 ± 75.08
nns,log_d,9.87 ± 0.79,8.2 ± 0.66,17.39 ± 1.47,22.23 ± 2.06,161.95 ± 13.59
nns,relative,19.29 ± 0.82,16.6 ± 0.74,32.84 ± 1.65,40.93 ± 2.24,210.49 ± 124.06
