n_train,model,representation,mean_cm,mean_std_cm,median_cm,median_std_cm,p90_cm,p90_std_cm,p95_cm,p95_std_cm,max_cm,max_std_cm
50,KANs,absolute,269.23587260736895,61.06291311208069,143.535596770421,36.32475746918444,530.6940858578768,104.22648508821611,931.6704000439729,315.93879639012334,5782.146979482982,2340.077261807502
50,KANs,log_d,123.1044197782242,103.75997719530746,78.41088936824883,61.82022634110582,234.12669847434964,195.14201014912302,337.22938038676085,266.1239586197466,2409.4405887383245,3792.379609279362
50,KANs,relative,224.4211505974934,58.24974193962975,151.7035439998379,54.69467480576958,492.5078155714059,114.73660837823306,662.875569469036,141.59910440760464,2137.765436670955,621.9064025359825
50,gps,absolute,114.35163918920189,5.33020391971383,89.1132175535255,6.5277078438896305,239.9094790747998,10.237818552511127,297.48235593688605,15.752744388701988,468.7036947410546,27.151762231668556
50,gps,log_d,12.542205133446771,1.3997997438854648,4.480517268581773,0.4837117308869967,30.034390108056062,3.7763385799036016,50.36686645161935,7.534587549519785,284.15032074512743,20.552274358160084
50,gps,relative,42.12922314577763,8.049566371306993,30.945095422096795,4.414485998990645,86.84299568513599,24.134978598117485,119.1912889365703,27.81939680531575,297.79526229346527,26.096323266501877
50,nns,absolute,97.79237372443443,12.764720359474477,70.13750311326791,11.735207683572087,191.763387016663,25.869546463304477,270.4534558230579,38.67110725577805,1426.2914611789195,542.4793054114393
50,nns,log_d,29.87872687752328,2.959418499106024,23.906116779216557,3.2078758548896547,55.43141887539341,5.907490611414507,71.8608733205167,7.23424617277259,270.6197376879464,44.31887476028207
50,nns,relative,70.44889532181405,6.216052708485856,55.12685109906819,4.502225403408827,135.7987291362868,11.543005982329243,178.65649973172052,18.091574724891284,632.3773526023435,236.86854162149933
100,KANs,absolute,200.4791596675112,49.50509098420405,116.64087727508254,9.550048682459579,309.71022131878397,33.36473399678621,493.09162382897,91.84335485785905,7408.4393746453325,5056.374477169632
100,KANs,log_d,85.74968711331796,92.69534827158901,50.36714567436472,51.750093935094455,168.6241232549579,178.8119076515999,242.98071223047765,225.7420779383852,7260.075640619182,19688.52086057356
100,KANs,relative,132.98550830847427,39.63822933877226,78.68983645471502,25.7087963081132,299.0193619829477,103.88199137045142,458.21593179384945,138.91663135621505,2126.18525372959,698.8162873606764
100,gps,absolute,65.49467872181576,3.72711770671783,39.203050521683735,4.116586284281869,162.44270442986468,8.352571887352024,212.8625511382234,12.43322815063128,419.8617557442003,9.513118762908036
100,gps,log_d,6.410258106815395,0.8163326456929035,1.6346554027582887,0.1522820874044025,15.391822595014514,2.418859755179256,30.35171967789197,5.512993342521047,239.01687958701046,30.847975698118525
100,gps,relative,22.75884483501884,1.4248207302834077,14.727601033428252,0.7749794912113196,47.33457252441019,4.808129283040212,74.88772805602777,7.453080928077513,291.965191024068,68.91295561317348
100,nns,absolute,64.20861420657414,7.379656538432593,46.759997331925746,5.452137351956659,125.0174195883116,14.2521063642332,171.16996901870147,18.927562809722392,941.1727499423929,334.09909535935805
100,nns,log_d,17.93618772971136,0.3497705231812265,13.174197551999944,0.3726737599554928,34.4927793595205,1.8597526104382287,46.57830514579891,2.087399536971145,227.02889259743233,33.59959496877276
100,nns,relative,43.85334891228385,3.3370886868937983,33.598142413296486,2.6891591679833224,84.76812221430465,7.580681017040754,113.71936454385006,12.148232792122023,449.43914022243445,117.4701125141134
150,KANs,absolute,104.66075520945697,29.547288739752016,68.14964721571756,19.2788183170762,182.74335081716424,52.69154894679194,264.4930685383464,78.87973339494309,2628.460083703818,1641.8691728588653
150,KANs,log_d,18.760647093473487,1.9442757736810308,8.44031157772302,1.6144771736267778,32.51556373617267,3.5163800893456485,62.72001656503571,12.92091494205834,832.3190155727928,295.013162192657
150,KANs,relative,112.6325965885516,28.457792004660416,75.24134561084364,25.757348689928143,229.2566956060968,54.912795256102996,335.1687942444877,70.66547675159968,1714.7241551891082,391.6131810978728
150,gps,absolute,48.32117695872037,2.0195128780670215,26.179224138326553,1.0863687817078778,123.79651285558452,7.7729618101077484,173.61642131519596,11.679473798444489,408.6030221623704,9.23564533856623
150,gps,log_d,4.319378168465907,0.2724056450888339,0.9693580237143931,0.0485161553482677,9.097246436664923,0.8472860981757916,19.864083483308647,2.291803317844541,212.59725420898013,34.70714503875689
150,gps,relative,16.33408071646674,1.404078058018428,8.870464714026701,0.33468744101741227,33.80857957446692,3.2685293491491905,58.92751803164689,8.767526251975834,345.97023114637864,86.73880454235088
150,nns,absolute,49.22692070286983,3.9284396253540774,37.20901513365085,2.902808565719895,94.28011404296414,8.142438182195963,126.88310437262757,12.447511290688578,801.4383438242567,324.05045246316797
150,nns,log_d,14.485793531216135,1.1270194268580367,11.068810560097733,0.8568349070121168,26.031513723500076,2.4374376843390952,35.55572676326347,3.5245451279129423,206.6511382143229,15.949700336816035
150,nns,relative,33.34379514910202,4.1915206089838115,24.984937076352473,1.930063940534374,61.51150433194874,9.57922758953704,84.74582220977923,16.971044876886925,566.9488530468561,621.0588926693313
200,KANs,absolute,61.11038438181187,12.829296730988114,39.850378014283464,10.792761396552516,113.12720858601145,31.56695478489967,164.63053347213855,46.22847191497717,2301.013815310205,1143.9503081121004
200,KANs,log_d,28.140632348047394,23.367872652443925,14.16485266837708,12.299228278687778,59.04314501292926,59.48067633112016,96.99721321362897,94.13517093215357,990.658941534932,427.10960237589927
200,KANs,relative,73.83553781397832,26.22229249276559,43.96835646258963,26.988745990526088,154.39062789533153,50.40030072945055,246.4950049656647,55.04625192274647,1449.2461732199354,446.1772176575625
200,gps,absolute,38.016470829305675,2.3855858969243338,19.565200831485804,0.7711806078121601,96.90781343121682,7.769740112516369,141.0302492906443,13.040083827158528,403.0144286658018,21.83863472436725
200,gps,log_d,3.2399809280275136,0.31402865271951624,0.7339467949210143,0.01873460221420327,6.449092326282607,0.5934725245038205,13.943871068480018,1.4950010657238997,192.88131279784895,30.671962195475807
200,gps,relative,13.49270624786639,0.8898339313469448,6.408585996606492,0.4332001470095697,28.34656075633855,3.183728995874189,52.912642676100994,5.533563689991221,352.49707297172165,61.436792911667396
200,nns,absolute,42.57915181579682,2.2366331730504276,32.94625312748376,1.9898822827745806,79.90799085421773,5.710739145708422,108.17856851355312,9.03041257698309,573.7972670044908,215.3524087445081
200,nns,log_d,12.116769877982822,0.7791139130829045,9.543824110871064,0.5487079907244855,21.314132860407675,1.4733855232385846,27.973184167767677,2.394238694783993,195.43612747260846,20.563361174315745
200,nns,relative,25.96935972697048,1.8102453900423894,21.07649203312277,1.4151571483570946,46.89416839672232,4.2153458377223725,62.08217451694052,5.570576727603165,245.76196302233888,30.506225909423534
250,KANs,absolute,51.022908256084705,8.624230108715821,32.805743427620236,6.332891901142348,92.26304313188068,18.290247194056246,140.8261059633474,31.179920098479617,1603.4593106620935,779.3703089868939
250,KANs,log_d,12.332457377972649,2.3525167277265067,6.961002796384619,1.070799254582065,23.266425808736596,3.7088861906032387,34.38636520282624,7.145456845096489,531.7622206090691,307.51778835793505
250,KANs,relative,38.4270499395391,17.861507977613368,20.10928782903694,13.476395546746055,78.98119122548187,41.0464802196899,136.93355346814,65.02900936104844,1027.5540048148416,475.18155721484203
250,gps,absolute,32.97988188306009,1.306001523842029,15.45451710050368,0.8050215331325489,85.82348677134871,4.938831913915185,128.64752595933584,9.043392961010158,388.06802233844604,9.732517221018751
250,gps,log_d,2.6140877169740895,0.3075500206680652,0.6415106339127151,0.038253556170567256,4.795134183848633,0.4333518459962908,10.344078956019427,1.1817387684340925,176.54295597958273,32.24291097962201
250,gps,relative,11.561041031667278,0.9284058450875673,5.112804342495524,0.25625632472233617,22.949635141984245,1.920111550846592,44.54120379012598,5.414075306961257,370.84701358405283,64.10338891564508
250,nns,absolute,36.39173960799644,2.9339978175341295,29.071494461130925,2.0342766087859565,66.35486738862404,6.579626890969816,88.76788543500486,9.969523775337027,408.3876125859561,125.15205983820539
250,nns,log_d,10.995988770130115,0.4323202775330729,8.854860117864657,0.4703923497840763,19.769205191355365,0.9078191893743598,25.858905094459146,1.5949111300697802,178.7598983594104,9.515060386280439
250,nns,relative,23.010657109476334,2.030304250948203,19.121960221674904,1.5370486478173409,40.3553011743859,3.8927493307371615,52.077166276883496,5.344118287505845,255.30933228875455,81.06535669799409
300,KANs,absolute,43.95185822170398,8.00747485975996,27.123910136880596,1.6872407929085442,76.29209387156291,10.68536685887328,115.07494293228831,27.237252725289654,1923.0955360555295,1132.7410334577344
300,KANs,log_d,15.018416411120603,2.3719544036323277,7.223322059430734,0.4298378891780829,26.12492002792113,3.6736304269311844,44.37454848543806,13.271052910818861,554.0225957089413,247.80126943126214
300,KANs,relative,42.77518530218107,20.753926021719856,23.002021151509155,15.915639114752018,89.82125202466125,50.04571014209288,151.529032709011,82.29380923731593,951.7475116504347,282.9733010799603
300,gps,absolute,28.55789493366162,1.49958702395855,12.940689380647324,0.7907640251448044,73.90215657911885,6.367929702201927,112.79206294339065,11.523119258646675,380.00779826760623,12.360912651720863
300,gps,log_d,2.320161002450894,0.24799829960111244,0.5602100163290512,0.02171548743233576,3.9977195419457887,0.45355970178653904,9.10764592276793,1.1425744425016962,189.7184461799024,18.61168749491553
300,gps,relative,10.071157355776513,1.0228206318727802,4.2332718459294325,0.2569052055457537,20.328120750859153,3.0703588051695148,39.20716918780741,6.4151320883120455,358.52000137685553,71.59564034372535
300,nns,absolute,35.12922101672239,1.900325993158336,28.89158401377507,1.7534191797540624,62.423670393710914,4.576670116329434,82.28206798189976,6.757022813386479,363.9933248704837,73.0581800101048
300,nns,log_d,10.922341379281795,1.193700998967772,8.876729169442914,0.9214501247061112,19.55633579237641,2.347097769189677,25.159966104961608,3.1765071473485498,160.37628053394914,34.18596971427989
300,nns,relative,21.16741436274,1.4589142709715228,18.077831775222446,1.2134059105951056,36.61547940579721,2.816032441568261,46.05614805559136,3.7458755375648938,183.5646563076275,40.597173633561255
350,KANs,absolute,38.5179667871656,5.817851750805547,24.70421579420832,2.7715589492987998,67.40319823165956,8.15119821271655,98.31430697355697,15.383858176346683,1781.0940556689807,1422.3341126341159
350,KANs,log_d,10.304270900085431,1.2259352510048147,6.559592364381105,0.3863704459847562,20.063784292938173,1.2635799705869075,28.37909775341053,2.621097236487159,297.1962395983085,210.9607659737987
350,KANs,relative,25.057799441984482,12.858739452267361,11.645489115228699,3.6866997743874896,47.48549212755997,30.564201108124994,90.37290788891883,68.5143507054044,991.8959040825941,347.3774212211706
350,gps,absolute,26.031051119534983,1.2996676978313069,10.83876987427924,0.9186645549835337,67.99023434711832,7.611701731883084,103.88603564432654,11.116758398803833,381.70814145126934,9.541391695109224
350,gps,log_d,1.8986393313470515,0.20893145989424466,0.49997732558757796,0.02536861505072067,3.0223788023477764,0.2255396970245934,6.9530532291660325,0.8327374395540084,175.38245207533564,31.741024842905244
350,gps,relative,8.951301065819871,1.1083249959124497,3.462079424906843,0.20902430321443594,17.47619440107815,2.0362986029752035,34.70604398547037,5.448539833833068,392.3593932354476,136.3359161274257
350,nns,absolute,33.2476336478948,2.6213299735777396,27.5120289205603,2.270942386225812,58.83664344802081,5.26243516995722,76.90630985303365,6.4459331944856695,329.8825415743489,75.08376610355064
350,nns,log_d,9.865667047853721,0.7934118721944962,8.202463726248807,0.6614397774795497,17.387542876184682,1.474356496723622,22.225129012294307,2.061664783362022,161.95057963829882,13.592838775866635
350,nns,relative,19.288328437161677,0.8218415774023708,16.601257954224454,0.7385711710481682,32.84309603221352,1.6473358482049927,40.928637578326985,2.2397359988275336,210.49255475988608,124.05831887219657
400,KANs,absolute,42.398562844199866,12.14580193484045,27.05016723904771,5.6572559297166105,73.66326102717964,16.70653919650403,106.38103169037633,27.810762168952962,1588.1659883879229,1231.4019042710302
400,KANs,log_d,11.38737948819734,0.9119982174774408,6.694166922642458,0.4654631609363124,21.942675210382284,1.5434960975930838,32.120408593647106,2.664937162556064,429.4287567474197,493.77408251455216
400,KANs,relative,25.498409978943073,9.244869109983636,13.23781501321751,3.9338423359392087,47.534474580403476,20.312717483591673,85.17340401573841,39.664431111581294,913.3574986446031,373.64721495839757
400,gps,absolute,24.02080486613609,1.4541799909851632,9.189224447810766,1.0527464898795622,64.53702277308456,7.224338839075897,99.38111698783598,10.697643519295543,383.5578315465809,21.19355039911275
400,gps,log_d,1.6692853171265516,0.14509738564269206,0.46637852007961705,0.02153976178363687,2.6197730014470304,0.20322090337820944,6.010062350375085,0.4614013207805729,175.6975156663032,15.825875204470918
400,gps,relative,8.174805319539026,0.7692280883294551,3.0301289835321663,0.24619839866573326,15.28711895311157,1.9450975499024081,31.250178795760394,4.853433846488684,440.2698324025515,112.14151547969843
400,nns,absolute,31.662131088016093,1.9581767700858572,26.310446004824552,1.7775255521682827,55.55090854577285,3.9583051753847656,72.63389261658499,5.740347573089642,347.8366652079875,117.6151894062536
400,nns,log_d,9.833460595290845,1.1161599801686424,8.03405225280402,1.040992755380647,17.530586618908366,1.8827267701152492,22.348034816641768,2.2795455790436328,160.0750349738809,29.862852964879995
400,nns,relative,18.952621263002232,0.7101594006191696,16.35056314627025,0.756514659545984,32.206310002576394,1.401852429262638,40.00942666504881,1.9327045225354396,197.0576261736383,88.59784703080956
450,KANs,absolute,35.38199617056052,8.604798988789666,23.66406984369447,3.8704527065324656,65.90446659763748,16.404450625883726,91.81250313660513,28.428272998452943,1054.9902519523232,897.1721527866999
450,KANs,log_d,11.413140749282153,1.7406510110419025,6.6740517714004755,0.4486729389351758,21.148380305634213,1.4497770160485235,30.779813537702495,3.254579951228424,308.7020487990046,148.30930619344167
450,KANs,relative,23.572630953185886,13.21501654832966,13.453767952914816,9.338197603473658,41.9161621283671,25.91947810787824,70.28426612023345,37.44160135020275,1059.5739528560841,796.2055248858092
450,gps,absolute,22.672999649056063,1.2530892060922427,7.767286025953825,0.8138009303602045,61.98427620359788,5.408947515771789,95.93780721527925,8.245641212675125,385.5830236723408,23.26907706327185
450,gps,log_d,1.493162273186503,0.13774580327606284,0.43692491155946434,0.019854865363455154,2.3048084870411825,0.13807516147057117,5.2827550470551285,0.48639288586635415,146.22676201974758,42.23966435364902
450,gps,relative,7.522461013203342,0.5604232077270569,2.635610656373441,0.09217806724748015,14.173646158792732,1.399626830472398,29.253536706985066,3.2375616521294805,441.7644249808538,81.18879367241813
450,nns,absolute,30.537204404936983,1.8463573401038416,25.628295051054522,1.5109203381032696,52.711668013059224,3.4334077400856198,68.68657905223053,5.127689419550673,330.09099213250846,130.15339267235726
450,nns,log_d,9.852036265197214,1.1674469386499846,7.983877083256023,0.9129862349099799,17.42021056453037,2.195698181165919,22.545849211065676,2.9804559113654987,174.3188594584051,10.40542982772095
450,nns,relative,18.80905966395865,0.770637350552625,16.411076935935107,0.6856372977887526,32.005522844560204,1.224922416524881,39.61451784446244,1.7982825854310838,157.61935769663097,27.5608712670772
500,KANs,absolute,32.945591235905034,5.703477904809101,23.110637997456287,2.955062157908411,60.441771179317115,11.282407918550907,81.1875537078563,19.86533242829897,965.0522542732485,368.37177890113776
500,KANs,log_d,11.654427680113725,1.0535270670275059,6.807754762738395,0.3712676701128854,22.040200021213856,1.7477372300017695,32.1651873018465,3.7369500952484396,332.07925344532043,112.05269332851894
500,KANs,relative,16.556200273484315,10.81480456574846,9.491292371725564,4.060285487620002,31.01756010492546,27.682234612240645,50.98594202805056,51.856743366424894,721.9187619783617,340.71712972161123
500,gps,absolute,20.640209185945544,0.6135659992832346,6.935970681809179,0.7242169032175979,56.59199883475367,4.163960020626964,88.59898785248188,4.958285418825272,390.2443469501442,62.46588447830649
500,gps,log_d,1.310167297724339,0.11885755673110981,0.41624349290145474,0.012978386346735095,2.024657708547128,0.12967071251909762,4.576079906642752,0.3597236369670559,137.35879569575465,43.491356168572665
