model,representation,mean,median,p90,p95,max
KANs,absolute,25.72 ± 0.69,19.51 ± 0.49,50.3 ± 1.28,64.38 ± 1.97,467.66 ± 119.23
KANs,log_d,9.42 ± 0.4,6.36 ± 0.42,19.64 ± 0.88,26.62 ± 0.88,193.58 ± 23.17
KANs,relative,14.31 ± 10.03,10.79 ± 7.3,26.79 ± 21.04,36.04 ± 27.47,300.52 ± 70.71
gps,absolute,9.9 ± 0.91,2.18 ± 0.17,21.22 ± 1.93,43.25 ± 4.14,746.26 ± 313.79
gps,log_d,0.59 ± 0.04,0.26 ± 0.01,0.79 ± 0.02,1.41 ± 0.08,105.54 ± 42.69
gps,relative,3.98 ± 1.09,1.01 ± 0.1,5.24 ± 0.69,12.01 ± 2.56,816.55 ± 692.81
nns,absolute,23.4 ± 1.47,20.11 ± 1.16,40.0 ± 3.17,50.52 ± 3.92,205.22 ± 23.37
nns,log_d,7.62 ± 0.73,6.19 ± 0.57,13.43 ± 1.21,17.48 ± 1.76,149.31 ± 25.92
nns,relative,14.55 ± 0.96,12.93 ± 0.83,24.26 ± 1.85,29.29 ± 2.33,155.73 ± 40.61
