model,representation,mean,median,p90,p95,max
KANs,absolute,104.66 ± 29.55,68.15 ± 19.28,182.74 ± 52.69,264.49 ± 78.88,2628.46 ± 1641.87
KANs,log_d,18.76 ± 1.94,8.44 ± 1.61,32.52 ± 3.52,62.72 ± 12.92,832.32 ± 295.01
KANs,relative,112.63 ± 28.46,75.24 ± 25.76,229.26 ± 54.91,335.17 ± 70.67,1714.72 ± 391.61
gps,absolute,48.32 ± 2.02,26.18 ± 1.09,123.8 ± 7.77,173.62 ± 11.68,408.6 ± 9.24
gps,log_d,4.32 ± 0.27,0.97 ± 0.05,9.1 ± 0.85,19.86 ± 2.29,212.6 ± 34.71
gps,relative,16.33 ± 1.4,8.87 ± 0.33,33.81 ± 3.27,58.93 ± 8.77,345.97 ± 86.74
nns,absolute,49.23 ± 3.93,37.21 ± 2.9,94.28 ± 8.14,126.88 ± 12.45,801.44 ± 324.05
nns,log_d,14.49 ± 1.13,11.07 ± 0.86,26.03 ± 2.44,35.56 ± 3.52,206.65 ± 15.95
nns,relative,33.34 ± 4.19,24.98 ± 1.93,61.51 ± 9.58,84.75 ± 16.97,566.95 ± 621.06
