model,representation,mean,median,p90,p95,max
KANs,absolute,26.4 ± 0.74,19.84 ± 0.51,51.58 ± 1.4,66.21 ± 2.61,563.67 ± 131.51
KANs,log_d,9.45 ± 0.57,6.34 ± 0.41,19.31 ± 0.78,26.69 ± 0.91,189.64 ± 27.15
KANs,relative,12.41 ± 7.61,9.1 ± 5.58,22.9 ± 14.86,31.35 ± 19.88,412.21 ± 212.06
gps,absolute,12.88 ± 0.78,3.16 ± 0.18,30.86 ± 2.52,59.56 ± 4.93,609.47 ± 119.3
gps,log_d,0.77 ± 0.05,0.3 ± 0.01,1.01 ± 0.03,1.95 ± 0.16,128.36 ± 40.05
gps,relative,4.62 ± 0.54,1.27 ± 0.09,6.86 ± 0.59,16.05 ± 1.93,531.97 ± 244.86
nns,absolute,25.86 ± 2.48,22.22 ± 2.25,44.19 ± 4.38,56.42 ± 5.59,229.1 ± 52.25
nns,log_d,7.94 ± 1.04,6.46 ± 0.85,14.11 ± 1.89,18.08 ± 2.27,145.53 ± 33.59
nns,relative,15.16 ± 1.2,13.38 ± 1.02,25.38 ± 2.17,30.98 ± 2.75,134.67 ± 14.38
