model,representation,mean,median,p90,p95,max
KANs,absolute,269.24 ± 61.06,143.54 ± 36.32,530.69 ± 104.23,931.67 ± 315.94,5782.15 ± 2340.08
KANs,log_d,123.1 ± 103.76,78.41 ± 61.82,234.13 ± 195.14,337.23 ± 266.12,2409.44 ± 3792.38
KANs,relative,224.42 ± 58.25,151.7 ± 54.69,492.51 ± 114.74,662.88 ± 141.6,2137.77 ± 621.91
gps,absolute,114.35 ± 5.33,89.11 ± 6.53,239.91 ± 10.24,297.48 ± 15.75,468.7 ± 27.15
gps,log_d,12.54 ± 1.4,4.48 ± 0.48,30.03 ± 3.78,50.37 ± 7.53,284.15 ± 20.55
gps,relative,42.13 ± 8.05,30.95 ± 4.41,86.84 ± 24.13,119.19 ± 27.82,297.8 ± 26.1
nns,absolute,97.79 ± 12.76,70.14 ± 11.74,191.76 ± 25.87,270.45 ± 38.67,1426.29 ± 542.48
nns,log_d,29.88 ± 2.96,23.91 ± 3.21,55.43 ± 5.91,71.86 ± 7.23,270.62 ± 44.32
nns,relative,70.45 ± 6.22,55.13 ± 4.5,135.8 ± 11.54,178.66 ± 18.09,632.38 ± 236.87
