RSS0,RSS1,RSS2,RSS3,RSS4,X,Y,Z
-0.7417684942419684,-0.10745209859360237,-0.568049646795554,-0.5741147647654671,-0.7180222882205664,-1.6977493752543307,-1.6977493752543307,-1.6977493752543311
-0.7388877758502683,-0.08685237590788375,-0.5791449934090338,-0.5812824126459253,-0.7164838572542346,-1.6977493752543307,-1.6977493752543307,-1.6284534823868075
-0.6991232217068915,-0.07936126995276226,-0.5870848322456619,-0.549678369532655,-0.7068514166608637,-1.6977493752543307,-1.6977493752543307,-1.5591575895192837
-0.7292685275661852,-0.09041383611230096,-0.6077778864717788,-0.5711541109609265,-0.6854482303227805,-1.6977493752543307,-1.6977493752543307,-1.4898616966517602
-0.7228508688571913,-0.03826325470309964,-0.5854784924187877,-0.5648254385608822,-0.6613389004670202,-1.6977493752543307,-1.6977493752543307,-1.4205658037842364
-0.7306761244990344,-0.042335111533225736,-0.5895543345129601,-0.5903872853074877,-0.7205279891455165,-1.6977493752543307,-1.6977493752543307,-1.3512699109167126
-0.7177767853296179,-0.01796423419148995,-0.5930117292263314,-0.5720235679881075,-0.7311351942547847,-1.6977493752543307,-1.6977493752543307,-1.281974018049189
-0.719689628737015,0.0011922260796770033,-0.5969261995355676,-0.5911224349349622,-0.6886664229272531,-1.6977493752543307,-1.6977493752543307,-1.2126781251816652
-0.7380587358382854,-0.006036014933246834,-0.6067433542400601,-0.5478356727079301,-0.7133127595363241,-1.6977493752543307,-1.6977493752543307,-1.1433822323141414
-0.7179454096741098,-0.014911997608110723,-0.61549102264214,-0.5727428917709532,-0.6860326072643715,-1.6977493752543307,-1.6977493752543307,-1.0740863394466178
-0.7569842690553622,0.01178883110972135,-0.6383851022631973,-0.5888966711144883,-0.7062984007349831,-1.6977493752543307,-1.6977493752543307,-1.004790446579094
-0.7555069437989244,0.029533935089376444,-0.618335272940282,-0.5805837386277211,-0.6955527630540728,-1.6977493752543307,-1.6977493752543307,-0.9354945537115702
-0.7566122965546486,0.02930436547321026,-0.604510821107123,-0.6295386426479851,-0.7186231578663898,-1.6977493752543307,-1.6977493752543307,-0.8661986608440465
-0.7317789344179458,0.03292100770727699,-0.5792495280671501,-0.595178510572623,-0.7239847931525467,-1.6977493752543307,-1.6977493752543307,-0.7969027679765229
-0.7393650230856106,0.05751308366026308,-0.5990386080900998,-0.6133999346888139,-0.7062108606353344,-1.6977493752543307,-1.6977493752543307,-0.727606875108999
-0.7574862353628347,0.042595425713227934,-0.6098996878757706,-0.6090112067907177,-0.6726668742362896,-1.6977493752543307,-1.6977493752543307,-0.6583109822414753
-0.7248754572512869,0.06062774139579018,-0.6553282145179895,-0.5976953689152721,-0.6996125103464204,-1.6977493752543307,-1.6977493752543307,-0.5890150893739516
