RSS0,RSS1,RSS2,RSS3,RSS4,X,Y,Z
-0.7302239798214762,-0.09958865981403763,-0.5800475154886324,-0.5727442626991542,-0.6952541504473582,-1.6977493752543307,-1.6977493752543307,-1.6977493752543311
-0.7298424061397318,-0.0861958128953426,-0.5844104517738992,-0.5758212589285829,-0.6956383257779205,-1.6977493752543307,-1.6977493752543307,-1.6284534823868075
-0.7178967702433773,-0.07686170979852122,-0.5878194999688168,-0.5667221688951116,-0.6935022902350604,-1.6977493752543307,-1.6977493752543307,-1.5591575895192837
-0.728098712985713,-0.07330592144913947,-0.5953063003635346,-0.5744338496564644,-0.6876784877945938,-1.6977493752543307,-1.6977493752543307,-1.4898616966517602
-0.7268368604666081,-0.049716561979634415,-0.5893152373981438,-0.5734640604884812,-0.6810142411268651,-1.6977493752543307,-1.6977493752543307,-1.4205658037842364
-0.7301599911816287,-0.04391173572807594,-0.591723872760298,-0.5826346404141698,-0.7006782599502378,-1.6977493752543307,-1.6977493752543307,-1.3512699109167126
-0.7270155208531135,-0.0290778204486894,-0.5939898827990674,-0.5779861517946532,-0.7050155633175157,-1.6977493752543307,-1.6977493752543307,-1.281974018049189
-0.7286497128157751,-0.015817061681521395,-0.5964529937509104,-0.5852214684362131,-0.6926118217718918,-1.6977493752543307,-1.6977493752543307,-1.2126781251816652
-0.7355572695783575,-0.01080397661880106,-0.6008338370180835,-0.5728080104129941,-0.7014507099682231,-1.6977493752543307,-1.6977493752543307,-1.1433822323141414
-0.7304325715788864,-0.006271942770603442,-0.6049893975839677,-0.5820471749443541,-0.6939030686829021,-1.6977493752543307,-1.6977493752543307,-1.0740863394466178
-0.7440736680821026,0.009321926779986072,-0.6136670052861173,-0.5885750841546487,-0.7014120491242302,-1.6977493752543307,-1.6977493752543307,-1.004790446579094
-0.745049310120294,0.02209036806216475,-0.6088543277208547,-0.5874251673678222,-0.6991656615532581,-1.6977493752543307,-1.6977493752543307,-0.9354945537115702
-0.7469465131772628,0.02924823974130724,-0.6060685564385879,-0.6044109097429897,-0.7076067814483246,-1.6977493752543307,-1.6977493752543307,-0.8661986608440465
-0.7407864827015898,0.0376377800192386,-0.5997685013392638,-0.5951857653957748,-0.7105234118107645,-1.6977493752543307,-1.6977493752543307,-0.7969027679765229
-0.7449925918042378,0.05246904181280134,-0.6077921031388526,-0.6026643400578624,-0.7061443890371212,-1.6977493752543307,-1.6977493752543307,-0.727606875108999
-0.7526343249547603,0.05464228319080408,-0.6130617050327476,-0.6030633195831743,-0.6968091442925605,-1.6977493752543307,-1.6977493752543307,-0.6583109822414753
-0.7443693825137393,0.06716055312914404,-0.629323742185108,-0.6013432298921272,-0.7066080897093578,-1.6977493752543307,-1.6977493752543307,-0.5890150893739516
-0.7495840413536967,0.07806206119502278,-0.6137466872687217,-0.6097844514133169,-0.7130168139225194,-1.6977493752543307,-1.6977493752543307,-0.519719196506428
-0.7584290907738873,0.09232010156813045,-0.6190508485574153,-0.6095899089093922,-0.7165189892689691,-1.6977493752543307,-1.6977493752543307,-0.4504233036389043
-0.7625246521281949,0.10754090218954422,-0.6338168165037523,-0.6102277512776774,-0.7156786382905148,-1.6977493752543307,-1.6977493752543307,-0.3811274107713806
-0.7617326732368237,0.11519608255726192,-0.6270234507717084,-0.609668095698815,-0.7100538362898329,-1.6977493752543307,-1.6977493752543307,-0.31183151790385694
-0.7696545992517478,0.12072404650458167,-0.6332595892402862,-0.6150740548158371,-0.7126109428108653,-1.6977493752543307,-1.6977493752543307,-0.24253562503633302
-0.7745040770210173,0.13257361346121763,-0.6293119484860095,-0.6197160835702377,-0.7230179078529592,-1.6977493752543307,-1.6977493752543307,-0.17323973216880934
-0.7770540899340276,0.13433776919036425,-0.6337197838734411,-0.6243018898540452,-0.7231802055158073,-1.6977493752543307,-1.6977493752543307,-0.10394383930128565
-0.7872975803624971,0.14686187296311862,-0.6424651941642672,-0.6268357611071144,-0.7193290233013291,-1.6977493752543307,-1.6977493752543307,-0.034647946433761956
-0.7898003515833961,0.13490958741885503,-0.644297897508772,-0.6426209525793168,-0.7227595035118076,-1.6977493752543307,-1.6977493752543307,0.03464794643376174
-0.7964488198619061,0.14990119306949942,-0.64915506758114,-0.6386036198666766,-0.7257458287346903,-1.6977493752543307,-1.6977493752543307,0.10394383930128542
-0.7988492680488575,0.15680925702883336,-0.6473194614059884,-0.6403785841612577,-0.7329265085026763,-1.6977493752543307,-1.6977493752543307,0.1732397321688091
-0.8051509671589948,0.15825334078279166,-0.6526461606613847,-0.6421590012754802,-0.7322052456400878,-1.6977493752543307,-1.6977493752543307,0.24253562503633302
-0.8053014149603556,0.16179075086791614,-0.6494087845469471,-0.6488467095268101,-0.7182155746326181,-1.6977493752543307,-1.6977493752543307,0.3118315179038565
-0.8170756726234636,0.1704031766586839,-0.6658728244596048,-0.6475658916046001,-0.7380443160345934,-1.6977493752543307,-1.6977493752543307,0.3811274107713804
-0.8202927592777592,0.16179838274821845,-0.6639155201352904,-0.6520512257525714,-0.7355289853913377,-1.6977493752543307,-1.6977493752543307,0.45042330363890387
-0.8275411312723633,0.1735662270594698,-0.670639545799623,-0.6620606858220031,-0.7271002696665211,-1.6977493752543307,-1.6977493752543307,0.5197191965064278
-0.834272734577405,0.1647879450026631,-0.6800438473276295,-0.6647044599728975,-0.7323179533859471,-1.6977493752543307,-1.6977493752543307,0.5890150893739516
-0.840553241944834,0.16279094388992577,-0.6908750086990597,-0.6748191418095475,-0.7407420537379716,-1.6977493752543307,-1.6977493752543307,0.6583109822414752
-0.8565135438462419,0.15560673532823008,-0.6833731563774206,-0.6764133525761742,-0.7439805850358436,-1.6977493752543307,-1.6977493752543307,0.727606875108999
-0.852668096785042,0.14979516535211954,-0.690091935270271,-0.6851917724607826,-0.7453600533224041,-1.6977493752543307,-1.6977493752543307,0.7969027679765226
-0.8633961683376674,0.14033015420835693,-0.6976757612663383,-0.6879002175781544,-0.7476164304167494,-1.6977493752543307,-1.6977493752543307,0.8661986608440464
-0.8666283139099168,0.1320643621644583,-0.694270176544517,-0.6951256255127096,-0.7418885357763485,-1.6977493752543307,-1.6977493752543307,0.93549455371157
-0.8708892005510966,0.12531831489354697,-0.7043513606478967,-0.7012058223231907,-0.7519412560054317,-1.6977493752543307,-1.6977493752543307,1.0047904465790938
-0.877571353277195,0.09841771276813922,-0.7104102957294586,-0.6949481389815024,-0.7571093734817287,-1.6977493752543307,-1.6977493752543307,1.0740863394466174
-0.8905486309038181,0.08937142130188666,-0.7067166665402214,-0.7052266875296895,-0.7632957947530946,-1.6977493752543307,-1.6977493752543307,1.1433822323141412
-0.8939860750182347,0.07348208864293916,-0.722233092703271,-0.715449399127532,-0.7598472894867514,-1.6977493752543307,-1.6977493752543307,1.2126781251816652
-0.8905906864682132,0.0432263342964391,-0.7285237784922522,-0.7110623163755643,-0.7567709182420773,-1.6977493752543307,-1.6977493752543307,1.2819740180491885
-0.9092227779358556,0.020013647413525036,-0.7343003882295779,-0.7147166443203173,-0.7604904536820073,-1.6977493752543307,-1.6977493752543307,1.3512699109167126
