noise,p05,p25,p50,p75,p95
0.0,0.0021141527255013138,0.004886982628890571,0.009686649678377898,0.024801932075700403,0.19807576434543753
6e-06,0.0025022698635719823,0.0058726939690207005,0.011326656220849255,0.02706071060385825,0.19362829751620475
1.9e-05,0.004281828967250121,0.010177329521616384,0.01960533393011872,0.04082979889649276,0.21482126941144025
6e-05,0.009850267623693764,0.023828848753104377,0.04639637657541688,0.09412631355182412,0.34464959990192623
0.00019,0.026556826607359852,0.06666721308228432,0.13238150396846873,0.2693503130106994,0.7950763050750143
