noise,p05,p25,p50,p75,p95
0.0,0.0009005216259154147,0.0018694206598229095,0.0030184185182098094,0.00518274759155694,0.020467482854435667
6e-06,0.001466214004274599,0.003296968214801084,0.005780221884643187,0.010485854120615559,0.03596922026896683
1.9e-05,0.0031275833920948095,0.00751035766395454,0.013945300852561888,0.026659436906597975,0.08682970959365503
6e-05,0.008517650390408641,0.02151468306637835,0.04109429545765482,0.08040479829088404,0.2596983054895134
0.00019,0.025798392952375696,0.06666228735744742,0.12864742794392658,0.2539250842590409,0.7626058978405486
