model,representation,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m,mean_error_m
GPs,Absolute,0.009222413320174224,0.019649665306896928,0.035345568464428004,0.09559598610870455,0.6638763433654308,0.14395201635019478
NNs,Absolute,0.07703368884086581,0.14862505304320817,0.21814352309363472,0.31005919424373984,0.5400618399367273,0.2530208387750466
KANs,Absolute,0.05814492258998849,0.12330973537683439,0.20591931583397116,0.3471671981693843,0.7192326440293618,0.28357225965633115
GPs,Relative,0.003551423022038415,0.007632027021879002,0.013620793290615786,0.027305533154200003,0.17132880965337643,0.04851111985059382
NNs,Relative,0.046843360341250834,0.09076208591513907,0.13272630389778323,0.1876059247576648,0.31281404639995614,0.15123028915818987
KANs,Relative,0.0235882061988282,0.04904899024315682,0.07717038982007521,0.11984938052358694,0.26363644766172994,0.10794729624059703
GPs,logD,0.000920305358530532,0.0019166621902802338,0.0031125916217932892,0.005394169613471233,0.022704308989290895,0.008561463743575066
NNs,logD,0.02202153577255312,0.043279409977877506,0.0649744984050781,0.09643441609855696,0.18425640258852585,0.0797484944184545
KANs,logD,0.016780851968832822,0.036590894719061816,0.06413185965096672,0.11488817018734371,0.27644071983620705,0.09681727193203775
