model,representation,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m,mean_error_m
GPs,Absolute,0.010556302594857176,0.02277317075324263,0.04214136832604083,0.11945235070126585,0.7817547808434769,0.16692968595347876
NNs,Absolute,0.0796897195741636,0.1551410901112687,0.22942142149639397,0.32986182556055527,0.5923468794938473,0.26938848296313517
KANs,Absolute,0.06021253377119193,0.12588830202876178,0.20584275746678177,0.3412254884814324,0.679302478964717,0.27762222571343664
GPs,Relative,0.004216293857309903,0.009069505252950277,0.01625593066409048,0.031897026455168856,0.1888003778183807,0.054459491908898296
NNs,Relative,0.04934621362659154,0.0944032265881348,0.1376763040186621,0.1943848321098327,0.3222534440984088,0.15670479071963417
KANs,Relative,0.026127123060308424,0.054986765854487085,0.08900480147056875,0.15264445536415142,0.47893408786565844,0.15265612671782688
GPs,logD,0.0009925793817620043,0.0020733231153158313,0.0034183293002084305,0.006054787522689222,0.025118476667384943,0.009061609454351043
NNs,logD,0.02496492481981391,0.048730801751299554,0.07368164782947083,0.10992301241650516,0.20338231316311248,0.08989746856196396
KANs,logD,0.01865819611947967,0.039694207891848514,0.06729721649556139,0.11901989463363323,0.29990296742421085,0.10835938373831858
