model,representation,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m,mean_error_m
GPs,Absolute,0.010101940877729091,0.021924935970015453,0.040244834802415634,0.1086623138731507,0.70831272093518,0.15366180327126608
NNs,Absolute,0.08036926866665568,0.1533281294750477,0.223405524241298,0.31651251881209186,0.5645030032629832,0.26114078683134195
KANs,Absolute,0.06068090203155305,0.12713174689980672,0.2107072974772985,0.3545708055271447,0.7297732928188125,0.2910951299524391
GPs,Relative,0.003872509138256635,0.008369113271515956,0.015101009730518464,0.030271874490688036,0.18720438449296467,0.05091737606421588
NNs,Relative,0.04800726780447152,0.09278952169683098,0.1354331329051822,0.19103114793302478,0.3170200113184624,0.15405171425359793
KANs,Relative,0.024376377975283626,0.05283047702523775,0.08641025270094456,0.14843608178965392,0.47664615157577217,0.14828190763076157
GPs,logD,0.0009570496036487608,0.002003256778851649,0.0032913459420178,0.005782794559880713,0.024713127329136792,0.008893770831394168
NNs,logD,0.023742726386604004,0.04671087758991141,0.07024582809774417,0.10489937016550979,0.1990287676585081,0.08669115820007074
KANs,logD,0.01704808405810175,0.037266629444884306,0.0656067653805385,0.11997468133913294,0.2936418900173601,0.10437818121269003
