model,representation,p05_error_m,p25_error_m,p50_error_m,p75_error_m,p95_error_m,mean_error_m
GPs,Absolute,0.005841972610676102,0.012307624723979897,0.021685285099149007,0.054144997151422826,0.4007101194781775,0.09462127930522742
NNs,Absolute,0.07088632915831064,0.13615365158848558,0.19905311155893746,0.28093942328322163,0.4831013534478469,0.22895362310723513
KANs,Absolute,0.05500540768870854,0.11691305831089568,0.19650826246518652,0.3292786632735786,0.6314831608960794,0.2552756659987737
GPs,Relative,0.0024496459893532155,0.005287227366488798,0.009360106991245027,0.019067458620340226,0.12337762614360433,0.04243314927525327
NNs,Relative,0.04482782000671695,0.0860292961730929,0.1258624274565491,0.17776719175616956,0.2916396027548402,0.14293486216391985
KANs,Relative,0.022719748534953114,0.04727510098793829,0.0733394609741001,0.11171689086893458,0.23748165778916028,0.0959918214784062
GPs,logD,0.000757272314495983,0.0015604584072905882,0.0024691801389659907,0.004042956842613203,0.013591409164823732,0.005723092573312728
NNs,logD,0.01929245377169915,0.038189307251011884,0.0583734530378746,0.08887403859579264,0.17461515229852984,0.07361419910111242
KANs,logD,0.01750322269979498,0.03702257976752077,0.06430689750753586,0.11390159710050997,0.27918596248546523,0.09835272659735109
