seed,runtime_s,per_sample_s,n_test
0,1.3693287391215563,1.095462991297245e-05,125000
1,0.32287846924737096,2.5830277539789675e-06,125000
2,0.2854916141368449,2.283932913094759e-06,125000
3,0.2697314489632845,2.157851591706276e-06,125000
4,0.3085435042157769,2.4683480337262154e-06,125000
5,0.2706638970412314,2.1653111763298513e-06,125000
6,0.281837522983551,2.2547001838684084e-06,125000
7,0.3045900212600827,2.4367201700806617e-06,125000
8,0.2677004160359502,2.1416033282876013e-06,125000
9,0.2667629970237613,2.1341039761900903e-06,125000
