Model_Type,n=50,n=100,n=150,n=200,n=250
gps_absolute,2.3991 ± 0.0971,1.6244 ± 0.0792,1.2380 ± 0.0737,0.9691 ± 0.0737,0.8582 ± 0.0469
gps_relative,0.8684 ± 0.2290,0.4733 ± 0.0456,0.3381 ± 0.0310,0.2835 ± 0.0302,0.2295 ± 0.0182
gps_log_d,0.3003 ± 0.0358,0.1539 ± 0.0229,0.0910 ± 0.0080,0.0645 ± 0.0056,0.0480 ± 0.0041
nns_absolute,1.9176 ± 0.2454,1.2502 ± 0.1352,0.9428 ± 0.0772,0.7991 ± 0.0542,0.6635 ± 0.0624
nns_relative,1.3580 ± 0.1095,0.8477 ± 0.0719,0.6151 ± 0.0909,0.4689 ± 0.0400,0.4036 ± 0.0369
nns_log_d,0.5543 ± 0.0560,0.3449 ± 0.0176,0.2603 ± 0.0231,0.2131 ± 0.0140,0.1977 ± 0.0086
KANs_absolute,5.3069 ± 0.9888,3.0971 ± 0.3165,1.8274 ± 0.4999,1.1313 ± 0.2995,0.9226 ± 0.1735
KANs_relative,4.9251 ± 1.0885,2.9902 ± 0.9855,2.2926 ± 0.5209,1.5439 ± 0.4781,0.7898 ± 0.3894
KANs_log_d,2.3413 ± 1.8513,1.6862 ± 1.6964,0.3252 ± 0.0334,0.5904 ± 0.5643,0.2327 ± 0.0352
