RSS0/RSS1,RSS0/RSS2,RSS0/RSS3,RSS0/RSS4,RSS1/RSS2,RSS1/RSS3,RSS1/RSS4,RSS2/RSS3,RSS2/RSS4,RSS3/RSS4,X,Y,Z
0.3463658141866806,1.2528236256091838,1.2938810931534543,2.9131722101666098,3.617053341568952,3.73559121644751,8.410680531527568,1.032771945471819,2.325285180306273,2.251499172204928,-4.0,-4.0,0.0
1.3136712527318297,2.862727225445745,0.3424588415249733,1.2864636619121548,2.179180841091403,0.2606883882195161,0.9792888892383877,0.11962678053325539,0.44938394775347273,3.7565497102761807,4.0,-4.0,0.0
1.2959336256614111,0.3542544632208181,3.0715875342110555,1.2918362883642849,0.273358493217595,2.3701734976152014,0.996838312382677,8.670568343119044,3.646633768899171,0.420576094275658,-4.0,4.0,0.0
2.982246256712152,1.3094771110208723,1.335298351178623,0.3460985825230194,0.439090872550725,0.4477491917957017,0.11605298581364772,1.019718741122264,0.26430288823696957,0.25919194928798484,4.0,4.0,0.0
0.04450453339560381,1.2575541431060442,1.7969547673124915,17.969562743190643,28.256765033969916,40.37689264909799,403.7692651096459,1.4289283504519152,14.28929548815088,10.000008386446895,-4.0,-4.0,3.5
2.1958290943149312,14.424479288302694,0.035065484274295,1.9199441374445219,6.569035507202319,0.015969131825915143,0.8743595493908501,0.0024309705448245056,0.1331031851528582,54.753104860210094,4.0,-4.0,3.5
2.1997547377750797,0.035962925792072505,45.59919098000337,1.7648535700244736,0.016348607039913393,20.729215942557406,0.8022956103776904,1267.9499783650817,49.07424885918235,0.03870361583385143,-4.0,4.0,3.5
23.189557054563753,2.523751075975008,9.623246272025568,0.032843695798791116,0.10883136189435444,0.41498189246920925,0.0014163140641932793,3.8130726772678214,0.013013841226834353,0.003412953890026338,4.0,4.0,3.5
2.363304636460319,0.6776783175770339,3.018173259843355,0.9629394820505571,0.2867503017266697,1.2770986919248282,0.40745465785266544,4.453696070186382,1.4209388984045466,0.31904711862053087,-0.6142578125,2.7493776355230386,0.38124800000000003
2.245726704863359,3.7462230276801756,0.359515597114518,1.072148747975915,1.6681562451777114,0.16008875716530818,0.4774172857516738,0.09596748363835288,0.28619458586795254,2.98220371127431,3.3857421875,-1.6950668089214047,1.0812480000000004
0.9467128996369489,0.36950684152607677,5.0361477339785,3.1829730996927266,0.3903050667924536,5.319614569432604,3.3621313292692556,13.629376152222312,8.614111410080882,0.6320253630006627,-3.1142578125,0.9715998577452618,1.7812480000000002
6.971048994168699,0.7321388428642541,5.456156358009958,0.25721655248703085,0.10502563437392139,0.7826879946725446,0.03689782595161692,7.4523519837638,0.3513220955205096,0.04714244526908065,0.8857421875,3.638266524411928,2.4812480000000003
0.13908823883966656,4.653450279101146,0.9632942716291875,12.22650212227528,33.45682077738717,6.925778050433302,87.90464401788374,0.20700646055151492,2.627405771838812,12.692385372122068,-1.1142578125,-3.1765482904028857,3.181248
2.5313065552389515,2.9260148359066576,0.6714386487304735,0.8949739613532854,1.1559306516434342,0.26525378656363124,0.3535620604707047,0.22947205888736408,0.3058678822713378,1.332919936982273,2.8857421875,-0.5098816237362196,0.5212479999999999
